  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            400.52747
        0.00101            0.00000            406.14847
        0.00303            0.00000            413.45651
        0.00505            0.00000            419.92020
        0.00707            0.00000            425.86197
        0.00909            0.00000            431.42957
        0.01111            0.00000            436.70605
        0.01313            0.00000            441.74438
        0.01515            0.00000            446.58112
        0.01717            0.00000            451.24271
        0.01919            0.00000            455.74951
        0.02121            0.00000            460.11743
        0.02323            0.00000            464.35922
        0.02525            0.00000            468.48535
        0.02727            0.00000            472.50439
        0.02929            0.00000            476.42395
        0.03131            0.00000            480.25015
        0.03333            0.00000            483.98846
        0.03535            0.00000            487.64374
        0.03737            0.00000            491.22003
        0.03939            0.00000            494.72119
        0.04141            0.00000            498.15027
        0.04343            0.00000            501.51041
        0.04545            0.00000            504.80438
        0.04747            0.00000            508.03442
        0.04949            0.00000            511.20306
        0.05152            0.00000            514.31219
        0.05354            0.00000            517.36383
        0.05556            0.00000            520.35956
        0.05758            0.00000            523.30121
        0.05960            0.00000            526.19043
        0.06162            0.00000            529.02863
        0.06364            0.00000            531.81702
        0.06566            0.00000            534.55676
        0.06768            0.00000            537.24927
        0.06970            0.00000            539.89618
        0.07172            0.00000            542.49823
        0.07374            0.00000            545.05652
        0.07576            0.00000            547.57227
        0.07778            0.00000            550.04626
        0.07980            0.00000            552.47968
        0.08182            0.00000            554.87329
        0.08384            0.00000            557.22821
        0.08586            0.00000            559.54517
        0.08788            0.00000            561.82507
        0.08990            0.00000            564.06885
        0.09192            0.00000            566.27728
        0.09394            0.00000            568.45105
        0.09596            0.00000            570.59094
        0.09798            0.00000            572.69775
        0.10000            0.00000            574.77216
        0.10202            0.00000            576.81500
        0.10404            0.00000            578.82697
        0.10606            0.00000            580.80865
        0.10808            0.00000            582.76080
        0.11010            0.00000            584.68384
        0.11212            0.00000            586.57874
        0.11414            0.00000            588.44562
        0.11616            0.00000            590.28564
        0.11818            0.00000            592.09918
        0.12020            0.00000            593.88678
        0.12222            0.00000            595.64893
        0.12424            0.00000            597.38617
        0.12626            0.00000            599.09906
        0.12828            0.00000            600.78833
        0.13030            0.00000            602.45398
        0.13232            0.00000            604.09705
        0.13434            0.00000            605.71765
        0.13636            0.00000            607.31616
        0.13838            0.00000            608.89331
        0.14040            0.00000            610.44940
        0.14242            0.00000            611.98468
        0.14444            0.00000            613.49994
        0.14646            0.00000            614.99536
        0.14848            0.00000            616.47144
        0.15050            0.00000            617.92853
        0.15253            0.00000            619.36670
        0.15455            0.00000            620.78680
        0.15657            0.00000            622.18884
        0.15859            0.00000            623.57343
        0.16061            0.00000            624.94043
        0.16263            0.00000            626.29053
        0.16465            0.00000            627.62408
        0.16667            0.00000            628.94098
        0.16869            0.00000            630.24182
        0.17071            0.00000            631.52655
        0.17273            0.00000            632.79559
        0.17475            0.00000            634.04938
        0.17677            0.00000            635.28778
        0.17879            0.00000            636.51123
        0.18081            0.00000            637.71973
        0.18283            0.00000            638.91370
        0.18485            0.00000            640.09314
        0.18687            0.00000            641.25806
        0.18889            0.00000            642.40881
        0.19091            0.00000            643.54541
        0.19293            0.00000            644.66803
        0.19495            0.00000            645.77692
        0.19697            0.00000            646.87207
        0.19899            0.00000            647.95355
        0.20000            0.00000            648.48474
        0.00000            0.00051            400.00000
        0.00101            0.00051            405.62692
        0.00303            0.00051            412.94269
        0.00505            0.00051            419.41321
        0.00707            0.00051            425.36124
        0.00909            0.00051            430.93472
        0.01111            0.00051            436.21680
        0.01313            0.00051            441.26044
        0.01515            0.00051            446.10226
        0.01717            0.00051            450.76880
        0.01919            0.00051            455.28036
        0.02121            0.00051            459.65289
        0.02323            0.00051            463.89917
        0.02525            0.00051            468.02963
        0.02727            0.00051            472.05292
        0.02929            0.00051            475.97662
        0.03131            0.00051            479.80685
        0.03333            0.00051            483.54913
        0.03535            0.00051            487.20825
        0.03737            0.00051            490.78833
        0.03939            0.00051            494.29318
        0.04141            0.00051            497.72589
        0.04343            0.00051            501.08957
        0.04545            0.00051            504.38702
        0.04747            0.00051            507.62048
        0.04949            0.00051            510.79245
        0.05152            0.00051            513.90485
        0.05354            0.00051            516.95972
        0.05556            0.00051            519.95862
        0.05758            0.00051            522.90338
        0.05960            0.00051            525.79565
        0.06162            0.00051            528.63684
        0.06364            0.00051            531.42816
        0.06566            0.00051            534.17078
        0.06768            0.00051            536.86615
        0.06970            0.00051            539.51587
        0.07172            0.00051            542.12067
        0.07374            0.00051            544.68164
        0.07576            0.00051            547.20001
        0.07778            0.00051            549.67664
        0.07980            0.00051            552.11261
        0.08182            0.00051            554.50879
        0.08384            0.00051            556.86615
        0.08586            0.00051            559.18561
        0.08788            0.00051            561.46790
        0.08990            0.00051            563.71405
        0.09192            0.00051            565.92480
        0.09394            0.00051            568.10089
        0.09596            0.00051            570.24304
