  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            400.31378
        0.00101            0.00000            403.77908
        0.00303            0.00000            408.36462
        0.00505            0.00000            412.44537
        0.00707            0.00000            416.21338
        0.00909            0.00000            419.75656
        0.01111            0.00000            423.12451
        0.01313            0.00000            426.34863
        0.01515            0.00000            429.45087
        0.01717            0.00000            432.44705
        0.01919            0.00000            435.34930
        0.02121            0.00000            438.16699
        0.02323            0.00000            440.90796
        0.02525            0.00000            443.57837
        0.02727            0.00000            446.18335
        0.02929            0.00000            448.72748
        0.03131            0.00000            451.21451
        0.03333            0.00000            453.64764
        0.03535            0.00000            456.02988
        0.03737            0.00000            458.36368
        0.03939            0.00000            460.65115
        0.04141            0.00000            462.89453
        0.04343            0.00000            465.09546
        0.04545            0.00000            467.25568
        0.04747            0.00000            469.37659
        0.04949            0.00000            471.45966
        0.05152            0.00000            473.50613
        0.05354            0.00000            475.51712
        0.05556            0.00000            477.49399
        0.05758            0.00000            479.43735
        0.05960            0.00000            481.34854
        0.06162            0.00000            483.22833
        0.06364            0.00000            485.07767
        0.06566            0.00000            486.89725
        0.06768            0.00000            488.68790
        0.06970            0.00000            490.45035
        0.07172            0.00000            492.18530
        0.07374            0.00000            493.89349
        0.07576            0.00000            495.57550
        0.07778            0.00000            497.23206
        0.07980            0.00000            498.86368
        0.08182            0.00000            500.47107
        0.08384            0.00000            502.05490
        0.08586            0.00000            503.61551
        0.08788            0.00000            505.15366
        0.08990            0.00000            506.66971
        0.09192            0.00000            508.16437
        0.09394            0.00000            509.63794
        0.09596            0.00000            511.09116
        0.09798            0.00000            512.52435
        0.10000            0.00000            513.93793
        0.10202            0.00000            515.33264
        0.10404            0.00000            516.70868
        0.10606            0.00000            518.06665
        0.10808            0.00000            519.40692
        0.11010            0.00000            520.72980
        0.11212            0.00000            522.03589
        0.11414            0.00000            523.32556
        0.11616            0.00000            524.59912
        0.11818            0.00000            525.85706
        0.12020            0.00000            527.09967
        0.12222            0.00000            528.32745
        0.12424            0.00000            529.54059
        0.12626            0.00000            530.73962
        0.12828            0.00000            531.92480
        0.13030            0.00000            533.09625
        0.13232            0.00000            534.25458
        0.13434            0.00000            535.40015
        0.13636            0.00000            536.53314
        0.13838            0.00000            537.65369
        0.14040            0.00000            538.76233
        0.14242            0.00000            539.85925
        0.14444            0.00000            540.94482
        0.14646            0.00000            542.01923
        0.14848            0.00000            543.08264
        0.15050            0.00000            544.13550
        0.15253            0.00000            545.17798
        0.15455            0.00000            546.21014
        0.15657            0.00000            547.23242
        0.15859            0.00000            548.24487
        0.16061            0.00000            549.24792
        0.16263            0.00000            550.24158
        0.16465            0.00000            551.22595
        0.16667            0.00000            552.20135
        0.16869            0.00000            553.16809
        0.17071            0.00000            554.12616
        0.17273            0.00000            555.07556
        0.17475            0.00000            556.01666
        0.17677            0.00000            556.94952
        0.17879            0.00000            557.87427
        0.18081            0.00000            558.79108
        0.18283            0.00000            559.69989
        0.18485            0.00000            560.60101
        0.18687            0.00000            561.49432
        0.18889            0.00000            562.38013
        0.19091            0.00000            563.25830
        0.19293            0.00000            564.12903
        0.19495            0.00000            564.99225
        0.19697            0.00000            565.84802
        0.19899            0.00000            566.69653
