  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            402.56812
        0.00101            0.00000            423.31775
        0.00303            0.00000            446.05341
        0.00505            0.00000            464.87851
        0.00707            0.00000            481.33917
        0.00909            0.00000            496.14160
        0.01111            0.00000            509.68170
        0.01313            0.00000            522.21069
        0.01515            0.00000            533.90149
        0.01717            0.00000            544.87988
        0.01919            0.00000            555.24091
        0.02121            0.00000            565.05914
        0.02323            0.00000            574.39398
        0.02525            0.00000            583.29431
        0.02727            0.00000            591.80011
        0.02929            0.00000            599.94562
        0.03131            0.00000            607.75964
        0.03333            0.00000            615.26715
        0.03535            0.00000            622.48962
        0.03737            0.00000            629.44647
        0.03939            0.00000            636.15405
        0.04141            0.00000            642.62738
        0.04343            0.00000            648.87982
        0.04545            0.00000            654.92340
        0.04747            0.00000            660.76892
        0.04949            0.00000            666.42615
        0.05152            0.00000            671.90411
        0.05354            0.00000            677.21136
        0.05556            0.00000            682.35529
        0.05758            0.00000            687.34308
        0.05960            0.00000            692.18127
        0.06162            0.00000            696.87628
        0.06364            0.00000            701.43292
        0.06566            0.00000            705.85724
        0.06768            0.00000            710.15442
        0.06970            0.00000            714.32898
        0.07172            0.00000            718.38574
        0.07374            0.00000            722.32874
        0.07576            0.00000            726.16229
        0.07778            0.00000            729.88995
        0.07980            0.00000            733.51562
        0.08182            0.00000            737.04291
        0.08384            0.00000            740.47504
        0.08586            0.00000            743.81549
        0.08788            0.00000            747.06714
        0.08990            0.00000            750.23322
        0.09192            0.00000            753.31635
        0.09394            0.00000            756.31958
        0.09596            0.00000            759.24554
        0.09798            0.00000            762.09662
        0.10000            0.00000            764.87573
        0.10202            0.00000            767.58484
        0.10404            0.00000            770.22656
        0.10606            0.00000            772.80316
        0.10808            0.00000            775.31665
        0.11010            0.00000            777.76929
        0.11212            0.00000            780.16302
        0.11414            0.00000            782.49976
        0.11616            0.00000            784.78174
        0.11818            0.00000            787.01025
        0.12020            0.00000            789.18750
        0.12222            0.00000            791.31531
        0.12424            0.00000            793.39502
        0.12626            0.00000            795.42847
        0.12828            0.00000            797.41742
        0.13030            0.00000            799.36310
        0.13232            0.00000            801.26697
        0.13434            0.00000            803.13062
        0.13636            0.00000            804.95526
        0.13838            0.00000            806.74237
        0.14040            0.00000            808.49304
        0.14242            0.00000            810.20856
        0.14444            0.00000            811.89020
        0.14646            0.00000            813.53900
        0.14848            0.00000            815.15643
        0.15050            0.00000            816.74286
        0.15253            0.00000            818.29993
        0.15455            0.00000            819.82843
        0.15657            0.00000            821.32953
        0.15859            0.00000            822.80389
        0.16061            0.00000            824.25238
        0.16263            0.00000            825.67590
        0.16465            0.00000            827.07544
        0.16667            0.00000            828.45160
        0.16869            0.00000            829.80511
        0.17071            0.00000            831.13696
        0.17273            0.00000            832.44757
        0.17475            0.00000            833.73767
        0.17677            0.00000            835.00800
        0.17879            0.00000            836.25897
        0.18081            0.00000            837.49139
        0.18283            0.00000            838.70557
