  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            400.89197
        0.00101            0.00000            409.72455
        0.00303            0.00000            420.76190
        0.00505            0.00000            430.38419
        0.00707            0.00000            439.13547
        0.00909            0.00000            447.26511
        0.01111            0.00000            454.91296
        0.01313            0.00000            462.16833
        0.01515            0.00000            469.09280
        0.01717            0.00000            475.73126
        0.01919            0.00000            482.11786
        0.02121            0.00000            488.27927
        0.02323            0.00000            494.23709
        0.02525            0.00000            500.00894
        0.02727            0.00000            505.60928
        0.02929            0.00000            511.05081
        0.03131            0.00000            516.34381
        0.03333            0.00000            521.49762
        0.03535            0.00000            526.52020
        0.03737            0.00000            531.41846
        0.03939            0.00000            536.19873
        0.04141            0.00000            540.86670
        0.04343            0.00000            545.42712
        0.04545            0.00000            549.88470
        0.04747            0.00000            554.24353
        0.04949            0.00000            558.50732
        0.05152            0.00000            562.67950
        0.05354            0.00000            566.76349
        0.05556            0.00000            570.76196
        0.05758            0.00000            574.67780
        0.05960            0.00000            578.51385
        0.06162            0.00000            582.27197
        0.06364            0.00000            585.95502
        0.06566            0.00000            589.56470
        0.06768            0.00000            593.10339
        0.06970            0.00000            596.57300
        0.07172            0.00000            599.97540
        0.07374            0.00000            603.31219
        0.07576            0.00000            606.58527
        0.07778            0.00000            609.79626
        0.07980            0.00000            612.94666
        0.08182            0.00000            616.03796
        0.08384            0.00000            619.07190
        0.08586            0.00000            622.04968
        0.08788            0.00000            624.97260
        0.08990            0.00000            627.84229
        0.09192            0.00000            630.65991
        0.09394            0.00000            633.42657
        0.09596            0.00000            636.14362
        0.09798            0.00000            638.81238
        0.10000            0.00000            641.43384
        0.10202            0.00000            644.00928
        0.10404            0.00000            646.53955
        0.10606            0.00000            649.02600
        0.10808            0.00000            651.46942
        0.11010            0.00000            653.87103
        0.11212            0.00000            656.23187
        0.11414            0.00000            658.55267
        0.11616            0.00000            660.83459
        0.11818            0.00000            663.07843
        0.12020            0.00000            665.28522
        0.12222            0.00000            667.45563
        0.12424            0.00000            669.59082
        0.12626            0.00000            671.69135
        0.12828            0.00000            673.75787
        0.13030            0.00000            675.79144
        0.13232            0.00000            677.79279
        0.13434            0.00000            679.76245
        0.13636            0.00000            681.70135
        0.13838            0.00000            683.61017
        0.14040            0.00000            685.48950
        0.14242            0.00000            687.34009
        0.14444            0.00000            689.16266
        0.14646            0.00000            690.95764
        0.14848            0.00000            692.72589
        0.15050            0.00000            694.46759
        0.15253            0.00000            696.18365
        0.15455            0.00000            697.87445
        0.15657            0.00000            699.54065
        0.15859            0.00000            701.18256
        0.16061            0.00000            702.80078
        0.16263            0.00000            704.39575
        0.16465            0.00000            705.96814
        0.16667            0.00000            707.51788
        0.16869            0.00000            709.04608
        0.17071            0.00000            710.55249
        0.17273            0.00000            712.03784
        0.17475            0.00000            713.50238
        0.17677            0.00000            714.94659
        0.17879            0.00000            716.37061
        0.18081            0.00000            717.77490
        0.18283            0.00000            719.15967
        0.18485            0.00000            720.52515
        0.18687            0.00000            721.87164
        0.18889            0.00000            723.19940
        0.19091            0.00000            724.50854
        0.19293            0.00000            725.79956
        0.19495            0.00000            727.07227
        0.19697            0.00000            728.32721
        0.19899            0.00000            729.56427
        0.20000            0.00000            730.17126
        0.00000            0.00051            400.00000
        0.00101            0.00051            408.84836
        0.00303            0.00051            419.90543
        0.00505            0.00051            429.54492
        0.00707            0.00051            438.31183
        0.00909            0.00051            446.45599
        0.01111            0.00051            454.11752
        0.01313            0.00051            461.38586
        0.01515            0.00051            468.32269
        0.01717            0.00051            474.97302
        0.01919            0.00051            481.37103
        0.02121            0.00051            487.54346
        0.02323            0.00051            493.51193
        0.02525            0.00051            499.29410
        0.02727            0.00051            504.90445
        0.02929            0.00051            510.35568
        0.03131            0.00051            515.65814
        0.03333            0.00051            520.82117
        0.03535            0.00051            525.85272
        0.03737            0.00051            530.75977
        0.03939            0.00051            535.54858
        0.04141            0.00051            540.22485
        0.04343            0.00051            544.79346
        0.04545            0.00051            549.25897
        0.04747            0.00051            553.62561
        0.04949            0.00051            557.89703
        0.05152            0.00051            562.07666
        0.05354            0.00051            566.16791
        0.05556            0.00051            570.17358
        0.05758            0.00051            574.09637
        0.05960            0.00051            577.93927
        0.06162            0.00051            581.70416
        0.06364            0.00051            585.39374
        0.06566            0.00051            589.00989
        0.06768            0.00051            592.55493
        0.06970            0.00051            596.03070
        0.07172            0.00051            599.43921
        0.07374            0.00051            602.78198
        0.07576            0.00051            606.06085
        0.07778            0.00051            609.27759
        0.07980            0.00051            612.43365
        0.08182            0.00051            615.53046
        0.08384            0.00051            618.56982
        0.08586            0.00051            621.55292
        0.08788            0.00051            624.48108
        0.08990            0.00051            627.35590
        0.09192            0.00051            630.17853
        0.09394            0.00051            632.95013
        0.09596            0.00051            635.67206
        0.09798            0.00051            638.34558
        0.10000            0.00051            640.97174
        0.10202            0.00051            643.55176
        0.10404            0.00051            646.08655
        0.10606            0.00051            648.57745
        0.10808            0.00051            651.02527
        0.11010            0.00051            653.43115
        0.11212            0.00051            655.79620
        0.11414            0.00051            658.12115
        0.11616            0.00051            660.40717
        0.11818            0.00051            662.65497
        0.12020            0.00051            664.86572
        0.12222            0.00051            667.04004
        0.12424            0.00051            669.17902
        0.12626            0.00051            671.28333
        0.12828            0.00051            673.35352
        0.13030            0.00051            675.39075
        0.13232            0.00051            677.39563
        0.13434            0.00051            679.36884
        0.13636            0.00051            681.31122
        0.13838            0.00051            683.22345
        0.14040            0.00051            685.10614
        0.14242            0.00051            686.96002
        0.14444            0.00051            688.78583
        0.14646            0.00051            690.58405
        0.14848            0.00051            692.35547
        0.15050            0.00051            694.10028
        0.15253            0.00051            695.81940
        0.15455            0.00051            697.51318
        0.15657            0.00051            699.18237
        0.15859            0.00051            700.82721
        0.16061            0.00051            702.44836
        0.16263            0.00051            704.04614
        0.16465            0.00051            705.62134
        0.16667            0.00051            707.17389
        0.16869            0.00051            708.70477
        0.17071            0.00051            710.21387
        0.17273            0.00051            711.70190
        0.17475            0.00051            713.16907
        0.17677            0.00051            714.61584
        0.17879            0.00051            716.04242
        0.18081            0.00051            717.44922
        0.18283            0.00051            718.83643
        0.18485            0.00051            720.20435
        0.18687            0.00051            721.55328
        0.18889            0.00051            722.88342
        0.19091            0.00051            724.19489
        0.19293            0.00051            725.48822
        0.19495            0.00051            726.76318
        0.19697            0.00051            728.02039
        0.19899            0.00051            729.25964
        0.20000            0.00051            729.86774
        0.00000            0.00152            400.00000
        0.00101            0.00152            407.09607
        0.00303            0.00152            418.19269
        0.00505            0.00152            427.86667
        0.00707            0.00152            436.66504
        0.00909            0.00152            444.83838
        0.01111            0.00152            452.52737
        0.01313            0.00152            459.82175
        0.01515            0.00152            466.78342
        0.01717            0.00152            473.45764
        0.01919            0.00152            479.87860
        0.02121            0.00152            486.07318
        0.02323            0.00152            492.06308
        0.02525            0.00152            497.86597
        0.02727            0.00152            503.49649
        0.02929            0.00152            508.96722
        0.03131            0.00152            514.28876
        0.03333            0.00152            519.47021
        0.03535            0.00152            524.51984
        0.03737            0.00152            529.44458
        0.03939            0.00152            534.25061
        0.04141            0.00152            538.94366
        0.04343            0.00152            543.52863
        0.04545            0.00152            548.01025
        0.04747            0.00152            552.39252
        0.04949            0.00152            556.67926
        0.05152            0.00152            560.87396
        0.05354            0.00152            564.97992
        0.05556            0.00152            568.99994
        0.05758            0.00152            572.93695
        0.05960            0.00152            576.79358
        0.06162            0.00152            580.57208
        0.06364            0.00152            584.27484
        0.06566            0.00152            587.90405
        0.06768            0.00152            591.46179
        0.06970            0.00152            594.95007
        0.07172            0.00152            598.37085
        0.07374            0.00152            601.72565
        0.07576            0.00152            605.01630
        0.07778            0.00152            608.24457
        0.07980            0.00152            611.41199
        0.08182            0.00152            614.52002
        0.08384            0.00152            617.57025
        0.08586            0.00152            620.56403
        0.08788            0.00152            623.50281
        0.08990            0.00152            626.38794
        0.09192            0.00152            629.22064
        0.09394            0.00152            632.00226
        0.09596            0.00152            634.73401
        0.09798            0.00152            637.41718
        0.10000            0.00152            640.05267
        0.10202            0.00152            642.64197
        0.10404            0.00152            645.18591
        0.10606            0.00152            647.68573
        0.10808            0.00152            650.14233
        0.11010            0.00152            652.55688
        0.11212            0.00152            654.93042
        0.11414            0.00152            657.26379
        0.11616            0.00152            659.55798
        0.11818            0.00152            661.81390
        0.12020            0.00152            664.03253
        0.12222            0.00152            666.21466
        0.12424            0.00152            668.36127
        0.12626            0.00152            670.47308
        0.12828            0.00152            672.55084
        0.13030            0.00152            674.59528
        0.13232            0.00152            676.60730
        0.13434            0.00152            678.58765
        0.13636            0.00152            680.53699
        0.13838            0.00152            682.45605
        0.14040            0.00152            684.34552
        0.14242            0.00152            686.20612
        0.14444            0.00152            688.03839
        0.14646            0.00152            689.84308
        0.14848            0.00152            691.62073
        0.15050            0.00152            693.37183
        0.15253            0.00152            695.09711
        0.15455            0.00152            696.79700
        0.15657            0.00152            698.47205
        0.15859            0.00152            700.12280
        0.16061            0.00152            701.74982
        0.16263            0.00152            703.35333
        0.16465            0.00152            704.93402
        0.16667            0.00152            706.49219
        0.16869            0.00152            708.02844
        0.17071            0.00152            709.54303
        0.17273            0.00152            711.03625
        0.17475            0.00152            712.50867
        0.17677            0.00152            713.96057
        0.17879            0.00152            715.39227
        0.18081            0.00152            716.80396
        0.18283            0.00152            718.19617
        0.18485            0.00152            719.56897
        0.18687            0.00152            720.92267
        0.18889            0.00152            722.25757
        0.19091            0.00152            723.57367
        0.19293            0.00152            724.87152
        0.19495            0.00152            726.15106
        0.19697            0.00152            727.41266
        0.19899            0.00152            728.65625
        0.20000            0.00152            729.26648
        0.00000            0.00253            400.00000
        0.00101            0.00253            406.11783
        0.00303            0.00253            416.83591
        0.00505            0.00253            426.40778
        0.00707            0.00253            435.17514
        0.00909            0.00253            443.34256
        0.01111            0.00253            451.03674
        0.01313            0.00253            458.34183
        0.01515            0.00253            465.31723
        0.01717            0.00253            472.00690
        0.01919            0.00253            478.44418
        0.02121            0.00253            484.65567
        0.02323            0.00253            490.66275
        0.02525            0.00253            496.48279
        0.02727            0.00253            502.13052
        0.02929            0.00253            507.61832
        0.03131            0.00253            512.95667
        0.03333            0.00253            518.15485
        0.03535            0.00253            523.22089
        0.03737            0.00253            528.16180
        0.03939            0.00253            532.98376
        0.04141            0.00253            537.69250
        0.04343            0.00253            542.29291
        0.04545            0.00253            546.78973
        0.04747            0.00253            551.18689
        0.04949            0.00253            555.48828
        0.05152            0.00253            559.69733
        0.05354            0.00253            563.81732
        0.05556            0.00253            567.85114
        0.05758            0.00253            571.80170
        0.05960            0.00253            575.67163
        0.06162            0.00253            579.46326
        0.06364            0.00253            583.17889
        0.06566            0.00253            586.82074
        0.06768            0.00253            590.39087
        0.06970            0.00253            593.89136
        0.07172            0.00253            597.32391
        0.07374            0.00253            600.69049
        0.07576            0.00253            603.99261
        0.07778            0.00253            607.23212
        0.07980            0.00253            610.41064
        0.08182            0.00253            613.52948
        0.08384            0.00253            616.59039
        0.08586            0.00253            619.59467
        0.08788            0.00253            622.54376
        0.08990            0.00253            625.43903
        0.09192            0.00253            628.28162
        0.09394            0.00253            631.07306
        0.09596            0.00253            633.81433
        0.09798            0.00253            636.50684
        0.10000            0.00253            639.15167
        0.10202            0.00253            641.75000
        0.10404            0.00253            644.30292
        0.10606            0.00253            646.81146
        0.10808            0.00253            649.27673
        0.11010            0.00253            651.69977
        0.11212            0.00253            654.08160
        0.11414            0.00253            656.42316
        0.11616            0.00253            658.72534
        0.11818            0.00253            660.98920
        0.12020            0.00253            663.21564
        0.12222            0.00253            665.40540
        0.12424            0.00253            667.55957
        0.12626            0.00253            669.67877
        0.12828            0.00253            671.76379
        0.13030            0.00253            673.81543
        0.13232            0.00253            675.83453
        0.13434            0.00253            677.82178
        0.13636            0.00253            679.77795
        0.13838            0.00253            681.70374
        0.14040            0.00253            683.59979
        0.14242            0.00253            685.46692
        0.14444            0.00253            687.30560
        0.14646            0.00253            689.11664
        0.14848            0.00253            690.90045
        0.15050            0.00253            692.65765
        0.15253            0.00253            694.38898
        0.15455            0.00253            696.09479
        0.15657            0.00253            697.77570
        0.15859            0.00253            699.43219
        0.16061            0.00253            701.06488
        0.16263            0.00253            702.67395
        0.16465            0.00253            704.26019
        0.16667            0.00253            705.82379
        0.16869            0.00253            707.36542
        0.17071            0.00253            708.88519
        0.17273            0.00253            710.38367
        0.17475            0.00253            711.86121
        0.17677            0.00253            713.31812
        0.17879            0.00253            714.75482
        0.18081            0.00253            716.17151
        0.18283            0.00253            717.56848
        0.18485            0.00253            718.94598
        0.18687            0.00253            720.30438
        0.18889            0.00253            721.64392
        0.19091            0.00253            722.96460
