  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            888.00140
        0.00101            0.00000            888.00140
        0.00303            0.00000            523.68359
        0.00505            0.00000            523.87476
        0.00707            0.00000            524.13495
        0.00909            0.00000            524.46411
        0.01111            0.00000            524.86127
        0.01313            0.00000            525.32611
        0.01515            0.00000            525.85779
        0.01717            0.00000            526.45538
        0.01919            0.00000            527.11804
        0.02121            0.00000            527.84460
        0.02323            0.00000            528.63385
        0.02525            0.00000            529.48456
        0.02727            0.00000            530.39514
        0.02929            0.00000            531.36426
        0.03131            0.00000            532.39038
        0.03333            0.00000            533.47198
        0.03535            0.00000            534.60693
        0.03737            0.00000            535.79376
        0.03939            0.00000            537.03033
        0.04141            0.00000            538.31488
        0.04343            0.00000            539.64539
        0.04545            0.00000            541.01990
        0.04747            0.00000            542.43634
        0.04949            0.00000            543.89264
        0.05152            0.00000            545.38672
        0.05354            0.00000            546.91644
        0.05556            0.00000            548.47992
        0.05758            0.00000            550.07465
        0.05960            0.00000            551.69885
        0.06162            0.00000            553.35022
        0.06364            0.00000            555.02655
        0.06566            0.00000            556.72577
        0.06768            0.00000            558.44592
        0.06970            0.00000            560.18506
        0.07172            0.00000            561.94116
        0.07374            0.00000            563.71252
        0.07576            0.00000            565.49689
        0.07778            0.00000            567.29272
        0.07980            0.00000            569.09821
        0.08182            0.00000            570.91144
        0.08384            0.00000            572.73071
        0.08586            0.00000            574.55457
        0.08788            0.00000            576.38116
        0.08990            0.00000            578.20911
        0.09192            0.00000            580.03705
        0.09394            0.00000            581.86353
        0.09596            0.00000            583.68713
        0.09798            0.00000            585.50671
        0.10000            0.00000            587.32098
        0.10202            0.00000            589.12878
        0.10404            0.00000            590.92920
        0.10606            0.00000            592.72119
        0.10808            0.00000            594.50354
        0.11010            0.00000            596.27563
        0.11212            0.00000            598.03656
        0.11414            0.00000            599.78552
        0.11616            0.00000            601.52173
        0.11818            0.00000            603.24475
        0.12020            0.00000            604.95386
        0.12222            0.00000            606.64832
        0.12424            0.00000            608.32758
        0.12626            0.00000            609.99139
        0.12828            0.00000            611.63928
        0.13030            0.00000            613.27087
        0.13232            0.00000            614.88568
        0.13434            0.00000            616.48370
        0.13636            0.00000            618.06464
        0.13838            0.00000            619.62817
        0.14040            0.00000            621.17407
        0.14242            0.00000            622.70239
        0.14444            0.00000            624.21283
        0.14646            0.00000            625.70532
        0.14848            0.00000            627.17975
        0.15050            0.00000            628.63635
        0.15253            0.00000            630.07471
        0.15455            0.00000            631.49493
        0.15657            0.00000            632.89709
        0.15859            0.00000            634.28119
        0.16061            0.00000            635.64716
        0.16263            0.00000            636.99518
        0.16465            0.00000            638.32495
        0.16667            0.00000            639.63702
        0.16869            0.00000            640.93115
        0.17071            0.00000            642.20746
        0.17273            0.00000            643.46625
        0.17475            0.00000            644.70728
        0.17677            0.00000            645.93079
        0.17879            0.00000            647.13666
        0.18081            0.00000            648.32538
        0.18283            0.00000            649.49670
        0.18485            0.00000            650.65088
        0.18687            0.00000            651.78802
        0.18889            0.00000            652.90784
        0.19091            0.00000            654.01099
        0.19293            0.00000            655.09729
        0.19495            0.00000            656.16675
        0.19697            0.00000            657.21973
        0.19899            0.00000            658.25623
        0.20000            0.00000            658.76569
        0.00000            0.00051            887.98865
        0.00101            0.00051            887.98865
        0.00303            0.00051            523.28613
        0.00505            0.00051            523.47748
        0.00707            0.00051            523.73798
        0.00909            0.00051            524.06750
        0.01111            0.00051            524.46509
        0.01313            0.00051            524.93042
        0.01515            0.00051            525.46265
        0.01717            0.00051            526.06085
        0.01919            0.00051            526.72424
        0.02121            0.00051            527.45154
        0.02323            0.00051            528.24164
        0.02525            0.00051            529.09320
        0.02727            0.00051            530.00476
        0.02929            0.00051            530.97491
        0.03131            0.00051            532.00214
        0.03333            0.00051            533.08484
        0.03535            0.00051            534.22101
        0.03737            0.00051            535.40912
        0.03939            0.00051            536.64697
        0.04141            0.00051            537.93286
        0.04343            0.00051            539.26477
        0.04545            0.00051            540.64075
        0.04747            0.00051            542.05872
        0.04949            0.00051            543.51654
        0.05152            0.00051            545.01221
        0.05354            0.00051            546.54352
        0.05556            0.00051            548.10864
        0.05758            0.00051            549.70508
        0.05960            0.00051            551.33099
        0.06162            0.00051            552.98407
        0.06364            0.00051            554.66217
        0.06566            0.00051            556.36322
        0.06768            0.00051            558.08521
        0.06970            0.00051            559.82617
        0.07172            0.00051            561.58411
        0.07374            0.00051            563.35736
        0.07576            0.00051            565.14362
        0.07778            0.00051            566.94135
        0.07980            0.00051            568.74872
        0.08182            0.00051            570.56384
        0.08384            0.00051            572.38507
        0.08586            0.00051            574.21082
        0.08788            0.00051            576.03937
        0.08990            0.00051            577.86920
        0.09192            0.00051            579.69910
        0.09394            0.00051            581.52753
        0.09596            0.00051            583.35303
        0.09798            0.00051            585.17456
        0.10000            0.00051            586.99072
        0.10202            0.00051            588.80042
        0.10404            0.00051            590.60278
        0.10606            0.00051            592.39667
        0.10808            0.00051            594.18085
        0.11010            0.00051            595.95483
        0.11212            0.00051            597.71765
        0.11414            0.00051            599.46844
        0.11616            0.00051            601.20648
        0.11818            0.00051            602.93134
        0.12020            0.00051            604.64221
        0.12222            0.00051            606.33844
        0.12424            0.00051            608.01953
        0.12626            0.00051            609.68506
        0.12828            0.00051            611.33472
        0.13030            0.00051            612.96802
        0.13232            0.00051            614.58453
        0.13434            0.00051            616.18427
