  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            864.52917
        0.00101            0.00000            864.52917
        0.00303            0.00000            485.75937
        0.00505            0.00000            485.87683
        0.00707            0.00000            486.03665
        0.00909            0.00000            486.23840
        0.01111            0.00000            486.48215
        0.01313            0.00000            486.76736
        0.01515            0.00000            487.09372
        0.01717            0.00000            487.46082
        0.01919            0.00000            487.86789
        0.02121            0.00000            488.31473
        0.02323            0.00000            488.80045
        0.02525            0.00000            489.32443
        0.02727            0.00000            489.88593
        0.02929            0.00000            490.48425
        0.03131            0.00000            491.11804
        0.03333            0.00000            491.78690
        0.03535            0.00000            492.48984
        0.03737            0.00000            493.22589
        0.03939            0.00000            493.99414
        0.04141            0.00000            494.79355
        0.04343            0.00000            495.62299
        0.04545            0.00000            496.48151
        0.04747            0.00000            497.36804
        0.04949            0.00000            498.28131
        0.05152            0.00000            499.22037
        0.05354            0.00000            500.18387
        0.05556            0.00000            501.17075
        0.05758            0.00000            502.17978
        0.05960            0.00000            503.20972
        0.06162            0.00000            504.25940
        0.06364            0.00000            505.32803
        0.06566            0.00000            506.41364
        0.06768            0.00000            507.51547
        0.06970            0.00000            508.63251
        0.07172            0.00000            509.76349
        0.07374            0.00000            510.90732
        0.07576            0.00000            512.06293
        0.07778            0.00000            513.22919
        0.07980            0.00000            514.40515
        0.08182            0.00000            515.58972
        0.08384            0.00000            516.78168
        0.08586            0.00000            517.98035
        0.08788            0.00000            519.18451
        0.08990            0.00000            520.39349
        0.09192            0.00000            521.60608
        0.09394            0.00000            522.82159
        0.09596            0.00000            524.03906
        0.09798            0.00000            525.25787
        0.10000            0.00000            526.47693
        0.10202            0.00000            527.69580
        0.10404            0.00000            528.91345
        0.10606            0.00000            530.12952
        0.10808            0.00000            531.34314
        0.11010            0.00000            532.55383
        0.11212            0.00000            533.76099
        0.11414            0.00000            534.96375
        0.11616            0.00000            536.16193
        0.11818            0.00000            537.35504
        0.12020            0.00000            538.54248
        0.12222            0.00000            539.72382
        0.12424            0.00000            540.89832
        0.12626            0.00000            542.06573
        0.12828            0.00000            543.22571
        0.13030            0.00000            544.37799
        0.13232            0.00000            545.52209
        0.13434            0.00000            546.65790
        0.13636            0.00000            547.78516
        0.13838            0.00000            548.90363
        0.14040            0.00000            550.01318
        0.14242            0.00000            551.11328
        0.14444            0.00000            552.20416
        0.14646            0.00000            553.28558
        0.14848            0.00000            554.35736
        0.15050            0.00000            555.41931
        0.15253            0.00000            556.47150
        0.15455            0.00000            557.51367
        0.15657            0.00000            558.54584
        0.15859            0.00000            559.56799
        0.16061            0.00000            560.58008
        0.16263            0.00000            561.58197
        0.16465            0.00000            562.57361
        0.16667            0.00000            563.55511
        0.16869            0.00000            564.52631
        0.17071            0.00000            565.48730
        0.17273            0.00000            566.43799
        0.17475            0.00000            567.37836
        0.17677            0.00000            568.30853
        0.17879            0.00000            569.22845
        0.18081            0.00000            570.13824
        0.18283            0.00000            571.03784
        0.18485            0.00000            571.92725
        0.18687            0.00000            572.80627
        0.18889            0.00000            573.67535
        0.19091            0.00000            574.53418
        0.19293            0.00000            575.38293
        0.19495            0.00000            576.22168
        0.19697            0.00000            577.05042
        0.19899            0.00000            577.86902
        0.20000            0.00000            578.27313
        0.00000            0.00051            864.50690
        0.00101            0.00051            864.50690
        0.00303            0.00051            485.49924
        0.00505            0.00051            485.61679
        0.00707            0.00051            485.77670
        0.00909            0.00051            485.97858
        0.01111            0.00051            486.22247
        0.01313            0.00051            486.50787
        0.01515            0.00051            486.83444
        0.01717            0.00051            487.20175
        0.01919            0.00051            487.60910
        0.02121            0.00051            488.05621
        0.02323            0.00051            488.54224
        0.02525            0.00051            489.06653
        0.02727            0.00051            489.62839
        0.02929            0.00051            490.22708
        0.03131            0.00051            490.86127
        0.03333            0.00051            491.53055
        0.03535            0.00051            492.23395
        0.03737            0.00051            492.97046
        0.03939            0.00051            493.73920
        0.04141            0.00051            494.53909
        0.04343            0.00051            495.36905
        0.04545            0.00051            496.22812
        0.04747            0.00051            497.11520
        0.04949            0.00051            498.02905
        0.05152            0.00051            498.96869
        0.05354            0.00051            499.93280
        0.05556            0.00051            500.92029
        0.05758            0.00051            501.92996
        0.05960            0.00051            502.96054
        0.06162            0.00051            504.01089
        0.06364            0.00051            505.08020
        0.06566            0.00051            506.16647
        0.06768            0.00051            507.26901
        0.06970            0.00051            508.38675
        0.07172            0.00051            509.51843
        0.07374            0.00051            510.66299
        0.07576            0.00051            511.81934
        0.07778            0.00051            512.98633
        0.07980            0.00051            514.16302
        0.08182            0.00051            515.34833
        0.08384            0.00051            516.54102
        0.08586            0.00051            517.74048
        0.08788            0.00051            518.94537
        0.08990            0.00051            520.15509
        0.09192            0.00051            521.36847
        0.09394            0.00051            522.58472
        0.09596            0.00051            523.80298
        0.09798            0.00051            525.02252
        0.10000            0.00051            526.24237
        0.10202            0.00051            527.46198
        0.10404            0.00051            528.68042
        0.10606            0.00051            529.89728
        0.10808            0.00051            531.11163
        0.11010            0.00051            532.32306
        0.11212            0.00051            533.53101
        0.11414            0.00051            534.73450
        0.11616            0.00051            535.93347
        0.11818            0.00051            537.12732
        0.12020            0.00051            538.31549
        0.12222            0.00051            539.49756
        0.12424            0.00051            540.67279
        0.12626            0.00051            541.84094
        0.12828            0.00051            543.00165
        0.13030            0.00051            544.15466
        0.13232            0.00051            545.29950
        0.13434            0.00051            546.43604
        0.13636            0.00051            547.56396
        0.13838            0.00051            548.68317
        0.14040            0.00051            549.79340
