  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            861.99518
        0.00101            0.00000            861.99518
        0.00303            0.00000            560.78265
        0.00505            0.00000            562.21252
        0.00707            0.00000            564.17145
        0.00909            0.00000            566.63959
        0.01111            0.00000            569.59070
        0.01313            0.00000            572.99353
        0.01515            0.00000            576.81372
        0.01717            0.00000            581.01324
        0.01919            0.00000            585.55127
        0.02121            0.00000            590.38580
        0.02323            0.00000            595.47437
        0.02525            0.00000            600.77527
        0.02727            0.00000            606.24701
        0.02929            0.00000            611.84985
        0.03131            0.00000            617.54639
        0.03333            0.00000            623.30341
        0.03535            0.00000            629.08887
        0.03737            0.00000            634.87427
        0.03939            0.00000            640.63507
        0.04141            0.00000            646.34973
        0.04343            0.00000            651.99969
        0.04545            0.00000            657.56989
        0.04747            0.00000            663.04730
        0.04949            0.00000            668.42242
        0.05152            0.00000            673.68726
        0.05354            0.00000            678.83630
        0.05556            0.00000            683.86548
        0.05758            0.00000            688.77258
        0.05960            0.00000            693.55695
        0.06162            0.00000            698.21741
        0.06364            0.00000            702.75739
        0.06566            0.00000            707.17761
        0.06768            0.00000            711.47919
        0.06970            0.00000            715.66394
        0.07172            0.00000            719.73547
        0.07374            0.00000            723.69611
        0.07576            0.00000            727.54950
        0.07778            0.00000            731.29852
        0.07980            0.00000            734.94617
        0.08182            0.00000            738.49573
        0.08384            0.00000            741.94989
        0.08586            0.00000            745.31207
        0.08788            0.00000            748.58514
        0.08990            0.00000            751.77167
        0.09192            0.00000            754.87524
        0.09394            0.00000            757.89783
        0.09596            0.00000            760.84204
        0.09798            0.00000            763.71094
        0.10000            0.00000            766.50641
        0.10202            0.00000            769.23114
        0.10404            0.00000            771.88763
        0.10606            0.00000            774.47760
        0.10808            0.00000            777.00378
        0.11010            0.00000            779.46790
        0.11212            0.00000            781.87207
        0.11414            0.00000            784.21790
        0.11616            0.00000            786.50800
        0.11818            0.00000            788.74347
        0.12020            0.00000            790.92670
        0.12222            0.00000            793.05878
        0.12424            0.00000            795.14276
        0.12626            0.00000            797.17975
        0.12828            0.00000            799.17151
        0.13030            0.00000            801.11920
        0.13232            0.00000            803.02448
        0.13434            0.00000            804.88831
        0.13636            0.00000            806.71246
        0.13838            0.00000            808.49817
        0.14040            0.00000            810.24664
        0.14242            0.00000            811.95923
        0.14444            0.00000            813.63708
        0.14646            0.00000            815.28119
        0.14848            0.00000            816.89294
        0.15050            0.00000            818.47333
        0.15253            0.00000            820.02295
        0.15455            0.00000            821.54327
        0.15657            0.00000            823.03516
        0.15859            0.00000            824.49957
        0.16061            0.00000            825.93695
        0.16263            0.00000            827.34882
        0.16465            0.00000            828.73535
        0.16667            0.00000            830.09760
        0.16869            0.00000            831.43652
        0.17071            0.00000            832.75269
        0.17273            0.00000            834.04608
        0.17475            0.00000            835.31848
        0.17677            0.00000            836.56989
        0.17879            0.00000            837.80127
        0.18081            0.00000            839.01276
        0.18283            0.00000            840.20526
        0.18485            0.00000            841.37958
        0.18687            0.00000            842.53528
        0.18889            0.00000            843.67389
        0.19091            0.00000            844.79504
        0.19293            0.00000            845.89960
        0.19495            0.00000            846.98785
        0.19697            0.00000            848.05969
        0.19899            0.00000            849.11609
        0.20000            0.00000            849.63611
        0.00000            0.00051            861.79895
        0.00101            0.00051            861.79895
        0.00303            0.00051            559.03131
        0.00505            0.00051            560.46857
        0.00707            0.00051            562.43762
        0.00909            0.00051            564.91852
        0.01111            0.00051            567.88483
        0.01313            0.00051            571.30524
        0.01515            0.00051            575.14514
        0.01717            0.00051            579.36639
        0.01919            0.00051            583.92780
        0.02121            0.00051            588.78729
