  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            402.31250
        0.00101            0.00000            418.94409
        0.00303            0.00000            435.26968
        0.00505            0.00000            448.05688
        0.00707            0.00000            458.70416
        0.00909            0.00000            467.85199
        0.01111            0.00000            475.86084
        0.01313            0.00000            482.96088
        0.01515            0.00000            489.31134
        0.01717            0.00000            495.02890
        0.01919            0.00000            500.20251
        0.02121            0.00000            504.90265
        0.02323            0.00000            509.18588
        0.02525            0.00000            513.09924
        0.02727            0.00000            516.68213
        0.02929            0.00000            519.96783
        0.03131            0.00000            522.98541
        0.03333            0.00000            525.75995
        0.03535            0.00000            528.31384
        0.03737            0.00000            530.66644
        0.03939            0.00000            532.83575
        0.04141            0.00000            534.83746
        0.04343            0.00000            536.68610
        0.04545            0.00000            538.39478
        0.04747            0.00000            539.97546
        0.04949            0.00000            541.43933
        0.05152            0.00000            542.79651
        0.05354            0.00000            544.05670
        0.05556            0.00000            545.22852
        0.05758            0.00000            546.32043
        0.05960            0.00000            547.34039
        0.06162            0.00000            548.29547
        0.06364            0.00000            549.19250
        0.06566            0.00000            550.03827
        0.06768            0.00000            550.83875
        0.06970            0.00000            551.59991
        0.07172            0.00000            552.32727
        0.07374            0.00000            553.02625
        0.07576            0.00000            553.70184
        0.07778            0.00000            554.35889
        0.07980            0.00000            555.00220
        0.08182            0.00000            555.63611
        0.08384            0.00000            556.26489
        0.08586            0.00000            556.89264
        0.08788            0.00000            557.52344
        0.08990            0.00000            558.16107
        0.09192            0.00000            558.80908
        0.09394            0.00000            559.47131
        0.09596            0.00000            560.15094
        0.09798            0.00000            560.85138
        0.10000            0.00000            561.57574
        0.10202            0.00000            562.32758
        0.10404            0.00000            563.10950
        0.10606            0.00000            563.92450
        0.10808            0.00000            564.77563
        0.11010            0.00000            565.66547
        0.11212            0.00000            566.59656
        0.11414            0.00000            567.57166
        0.11616            0.00000            568.59332
        0.11818            0.00000            569.66400
        0.12020            0.00000            570.78613
        0.12222            0.00000            571.96173
        0.12424            0.00000            573.19342
        0.12626            0.00000            574.48297
        0.12828            0.00000            575.83258
        0.13030            0.00000            577.24396
        0.13232            0.00000            578.71948
        0.13434            0.00000            580.26086
        0.13636            0.00000            581.86969
        0.13838            0.00000            583.54791
        0.14040            0.00000            585.29730
        0.14242            0.00000            587.11938
        0.14444            0.00000            589.01569
        0.14646            0.00000            590.98755
        0.14848            0.00000            593.03638
        0.15050            0.00000            595.16345
        0.15253            0.00000            597.37012
        0.15455            0.00000            599.65735
        0.15657            0.00000            602.02631
        0.15859            0.00000            604.47760
        0.16061            0.00000            607.01227
        0.16263            0.00000            609.63104
        0.16465            0.00000            612.33472
        0.16667            0.00000            615.12347
        0.16869            0.00000            617.99817
        0.17071            0.00000            620.95886
        0.17273            0.00000            624.00598
        0.17475            0.00000            627.13940
        0.17677            0.00000            630.35944
        0.17879            0.00000            633.66571
        0.18081            0.00000            637.05804
        0.18283            0.00000            640.53638
        0.18485            0.00000            644.10004
        0.18687            0.00000            647.74854
        0.18889            0.00000            651.48138
        0.19091            0.00000            655.29742
        0.19293            0.00000            659.19629
        0.19495            0.00000            663.17633
        0.19697            0.00000            667.23621
        0.19899            0.00000            671.37390
        0.20000            0.00000            673.47894
        0.00000            0.00051            400.00000
        0.00101            0.00051            416.70886
        0.00303            0.00051            433.11032
        0.00505            0.00051            445.95691
        0.00707            0.00051            456.65369
        0.00909            0.00051            465.84399
        0.01111            0.00051            473.89008
        0.01313            0.00051            481.02310
        0.01515            0.00051            487.40308
        0.01717            0.00051            493.14719
        0.01919            0.00051            498.34485
        0.02121            0.00051            503.06680
        0.02323            0.00051            507.36996
        0.02525            0.00051            511.30154
        0.02727            0.00051            514.90100
        0.02929            0.00051            518.20203
        0.03131            0.00051            521.23358
        0.03333            0.00051            524.02106
        0.03535            0.00051            526.58679
        0.03737            0.00051            528.95032
        0.03939            0.00051            531.12970
        0.04141            0.00051            533.14075
        0.04343            0.00051            534.99792
        0.04545            0.00051            536.71454
        0.04747            0.00051            538.30261
        0.04949            0.00051            539.77325
        0.05152            0.00051            541.13672
        0.05354            0.00051            542.40277
        0.05556            0.00051            543.58008
        0.05758            0.00051            544.67706
        0.05960            0.00051            545.70172
        0.06162            0.00051            546.66125
        0.06364            0.00051            547.56244
        0.06566            0.00051            548.41217
        0.06768            0.00051            549.21637
        0.06970            0.00051            549.98108
        0.07172            0.00051            550.71179
        0.07374            0.00051            551.41400
