  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            401.15891
        0.00101            0.00000            410.54886
        0.00303            0.00000            420.74115
        0.00505            0.00000            429.10916
        0.00707            0.00000            436.36014
        0.00909            0.00000            442.81842
        0.01111            0.00000            448.66672
        0.01313            0.00000            454.02203
        0.01515            0.00000            458.96552
        0.01717            0.00000            463.55676
        0.01919            0.00000            467.84119
        0.02121            0.00000            471.85498
        0.02323            0.00000            475.62720
        0.02525            0.00000            479.18195
        0.02727            0.00000            482.53955
        0.02929            0.00000            485.71732
        0.03131            0.00000            488.73044
        0.03333            0.00000            491.59213
        0.03535            0.00000            494.31378
        0.03737            0.00000            496.90573
        0.03939            0.00000            499.37717
        0.04141            0.00000            501.73669
        0.04343            0.00000            503.99176
        0.04545            0.00000            506.14963
        0.04747            0.00000            508.21667
        0.04949            0.00000            510.19901
        0.05152            0.00000            512.10217
        0.05354            0.00000            513.93152
        0.05556            0.00000            515.69177
        0.05758            0.00000            517.38782
        0.05960            0.00000            519.02399
        0.06162            0.00000            520.60425
        0.06364            0.00000            522.13324
        0.06566            0.00000            523.61432
        0.06768            0.00000            525.05103
        0.06970            0.00000            526.44678
        0.07172            0.00000            527.80499
        0.07374            0.00000            529.12891
        0.07576            0.00000            530.42169
        0.07778            0.00000            531.68616
        0.07980            0.00000            532.92529
        0.08182            0.00000            534.14191
        0.08384            0.00000            535.33850
        0.08586            0.00000            536.51801
        0.08788            0.00000            537.68237
        0.08990            0.00000            538.83472
        0.09192            0.00000            539.97687
        0.09394            0.00000            541.11139
        0.09596            0.00000            542.24023
        0.09798            0.00000            543.36578
        0.10000            0.00000            544.49023
        0.10202            0.00000            545.61536
        0.10404            0.00000            546.74335
        0.10606            0.00000            547.87561
        0.10808            0.00000            549.01447
        0.11010            0.00000            550.16150
        0.11212            0.00000            551.31854
        0.11414            0.00000            552.48706
        0.11616            0.00000            553.66870
        0.11818            0.00000            554.86493
        0.12020            0.00000            556.07764
        0.12222            0.00000            557.30792
        0.12424            0.00000            558.55719
        0.12626            0.00000            559.82690
        0.12828            0.00000            561.11859
        0.13030            0.00000            562.43335
        0.13232            0.00000            563.77228
        0.13434            0.00000            565.13660
        0.13636            0.00000            566.52740
        0.13838            0.00000            567.94574
        0.14040            0.00000            569.39258
        0.14242            0.00000            570.86877
        0.14444            0.00000            572.37531
        0.14646            0.00000            573.91302
        0.14848            0.00000            575.48285
        0.15050            0.00000            577.08533
        0.15253            0.00000            578.72113
        0.15455            0.00000            580.39124
        0.15657            0.00000            582.09601
        0.15859            0.00000            583.83606
        0.16061            0.00000            585.61188
        0.16263            0.00000            587.42413
        0.16465            0.00000            589.27325
        0.16667            0.00000            591.15948
        0.16869            0.00000            593.08331
        0.17071            0.00000            595.04492
        0.17273            0.00000            597.04468
        0.17475            0.00000            599.08264
        0.17677            0.00000            601.15942
        0.17879            0.00000            603.27472
        0.18081            0.00000            605.42902
        0.18283            0.00000            607.62177
        0.18485            0.00000            609.85364
        0.18687            0.00000            612.12408
        0.18889            0.00000            614.43323
        0.19091            0.00000            616.78119
        0.19293            0.00000            619.16760
        0.19495            0.00000            621.59192
        0.19697            0.00000            624.05389
        0.19899            0.00000            626.55219
        0.20000            0.00000            627.81677
        0.00000            0.00051            400.00000
        0.00101            0.00051            409.41177
        0.00303            0.00051            419.62775
        0.00505            0.00051            428.01520
        0.00707            0.00051            435.28302
        0.00909            0.00051            441.75629
        0.01111            0.00051            447.61819
        0.01313            0.00051            452.98593
        0.01515            0.00051            457.94092
        0.01717            0.00051            462.54282
        0.01919            0.00051            466.83719
        0.02121            0.00051            470.86032
        0.02323            0.00051            474.64130
        0.02525            0.00051            478.20432
        0.02727            0.00051            481.56970
        0.02929            0.00051            484.75485
        0.03131            0.00051            487.77499
        0.03333            0.00051            490.64331
        0.03535            0.00051            493.37131
        0.03737            0.00051            495.96927
        0.03939            0.00051            498.44644
        0.04141            0.00051            500.81146
        0.04343            0.00051            503.07175
        0.04545            0.00051            505.23465
        0.04747            0.00051            507.30649
        0.04949            0.00051            509.29343
        0.05152            0.00051            511.20105
        0.05354            0.00051            513.03467
        0.05556            0.00051            514.79901
        0.05758            0.00051            516.49896
        0.05960            0.00051            518.13892
        0.06162            0.00051            519.72290
        0.06364            0.00051            521.25543
        0.06566            0.00051            522.73993
        0.06768            0.00051            524.17999
        0.06970            0.00051            525.57898
        0.07172            0.00051            526.94037
        0.07374            0.00051            528.26733
        0.07576            0.00051            529.56311
        0.07778            0.00051            530.83051
        0.07980            0.00051            532.07257
        0.08182            0.00051            533.29199
        0.08384            0.00051            534.49133
        0.08586            0.00051            535.67358
        0.08788            0.00051            536.84070
        0.08990            0.00051            537.99567
        0.09192            0.00051            539.14050
        0.09394            0.00051            540.27765
        0.09596            0.00051            541.40912
        0.09798            0.00051            542.53729
        0.10000            0.00051            543.66437
        0.10202            0.00051            544.79211
        0.10404            0.00051            545.92267
        0.10606            0.00051            547.05762
        0.10808            0.00051            548.19910
        0.11010            0.00051            549.34882
        0.11212            0.00051            550.50854
        0.11414            0.00051            551.67975
        0.11616            0.00051            552.86414
        0.11818            0.00051            554.06317
        0.12020            0.00051            555.27869
        0.12222            0.00051            556.51184
        0.12424            0.00051            557.76398
        0.12626            0.00051            559.03668
        0.12828            0.00051            560.33136
        0.13030            0.00051            561.64917
        0.13232            0.00051            562.99121
        0.13434            0.00051            564.35870
        0.13636            0.00051            565.75275
        0.13838            0.00051            567.17438
        0.14040            0.00051            568.62457
        0.14242            0.00051            570.10419
        0.14444            0.00051            571.61420
        0.14646            0.00051            573.15552
        0.14848            0.00051            574.72894
        0.15050            0.00051            576.33514
        0.15253            0.00051            577.97479
        0.15455            0.00051            579.64874
        0.15657            0.00051            581.35748
        0.15859            0.00051            583.10156
        0.16061            0.00051            584.88153
        0.16263            0.00051            586.69800
        0.16465            0.00051            588.55139
        0.16667            0.00051            590.44202
        0.16869            0.00051            592.37030
        0.17071            0.00051            594.33649
        0.17273            0.00051            596.34088
        0.17475            0.00051            598.38361
        0.17677            0.00051            600.46521
        0.17879            0.00051            602.58539
        0.18081            0.00051            604.74469
        0.18283            0.00051            606.94257
        0.18485            0.00051            609.17963
        0.18687            0.00051            611.45532
        0.18889            0.00051            613.76984
        0.19091            0.00051            616.12323
        0.19293            0.00051            618.51520
        0.19495            0.00051            620.94519
        0.19697            0.00051            623.41284
        0.19899            0.00051            625.91693
        0.20000            0.00051            627.18451
        0.00000            0.00152            400.00000
        0.00101            0.00152            407.13791
        0.00303            0.00152            417.40201
        0.00505            0.00152            425.82913
        0.00707            0.00152            433.13138
        0.00909            0.00152            439.63541
        0.01111            0.00152            445.52521
        0.01313            0.00152            450.91855
        0.01515            0.00152            455.89728
        0.01717            0.00152            460.52121
        0.01919            0.00152            464.83633
        0.02121            0.00152            468.87881
        0.02323            0.00152            472.67801
        0.02525            0.00152            476.25830
        0.02727            0.00152            479.63998
        0.02929            0.00152            482.84064
        0.03131            0.00152            485.87546
        0.03333            0.00152            488.75778
        0.03535            0.00152            491.49911
        0.03737            0.00152            494.10977
        0.03939            0.00152            496.59918
        0.04141            0.00152            498.97577
        0.04343            0.00152            501.24728
        0.04545            0.00152            503.42081
        0.04747            0.00152            505.50290
        0.04949            0.00152            507.49979
        0.05152            0.00152            509.41687
        0.05354            0.00152            511.25958
        0.05556            0.00152            513.03271
        0.05758            0.00152            514.74121
        0.05960            0.00152            516.38928
        0.06162            0.00152            517.98126
        0.06364            0.00152            519.52155
        0.06566            0.00152            521.01337
        0.06768            0.00152            522.46069
        0.06970            0.00152            523.86670
        0.07172            0.00152            525.23499
        0.07374            0.00152            526.56866
        0.07576            0.00152            527.87091
        0.07778            0.00152            529.14465
        0.07980            0.00152            530.39301
        0.08182            0.00152            531.61859
        0.08384            0.00152            532.82397
        0.08586            0.00152            534.01208
        0.08788            0.00152            535.18512
        0.08990            0.00152            536.34583
        0.09192            0.00152            537.49646
        0.09394            0.00152            538.63922
        0.09596            0.00152            539.77637
        0.09798            0.00152            540.91010
        0.10000            0.00152            542.04279
        0.10202            0.00152            543.17621
        0.10404            0.00152            544.31226
        0.10606            0.00152            545.45288
        0.10808            0.00152            546.59991
        0.11010            0.00152            547.75531
        0.11212            0.00152            548.92059
        0.11414            0.00152            550.09760
        0.11616            0.00152            551.28778
        0.11818            0.00152            552.49261
        0.12020            0.00152            553.71393
        0.12222            0.00152            554.95306
        0.12424            0.00152            556.21124
        0.12626            0.00152            557.48999
        0.12828            0.00152            558.79083
        0.13030            0.00152            560.11493
        0.13232            0.00152            561.46332
        0.13434            0.00152            562.83734
        0.13636            0.00152            564.23798
        0.13838            0.00152            565.66632
        0.14040            0.00152            567.12335
        0.14242            0.00152            568.60986
        0.14444            0.00152            570.12689
        0.14646            0.00152            571.67542
        0.14848            0.00152            573.25629
        0.15050            0.00152            574.86993
        0.15253            0.00152            576.51727
        0.15455            0.00152            578.19891
        0.15657            0.00152            579.91553
        0.15859            0.00152            581.66766
        0.16061            0.00152            583.45587
        0.16263            0.00152            585.28070
        0.16465            0.00152            587.14264
        0.16667            0.00152            589.04199
        0.16869            0.00152            590.97919
        0.17071            0.00152            592.95435
        0.17273            0.00152            594.96790
        0.17475            0.00152            597.01990
        0.17677            0.00152            599.11102
        0.17879            0.00152            601.24091
        0.18081            0.00152            603.40997
        0.18283            0.00152            605.61792
        0.18485            0.00152            607.86505
        0.18687            0.00152            610.15112
        0.18889            0.00152            612.47620
        0.19091            0.00152            614.84027
        0.19293            0.00152            617.24310
        0.19495            0.00152            619.68402
        0.19697            0.00152            622.16272
        0.19899            0.00152            624.67792
        0.20000            0.00152            625.95123
        0.00000            0.00253            400.00000
        0.00101            0.00253            405.86746
        0.00303            0.00253            415.63672
        0.00505            0.00253            423.92627
        0.00707            0.00253            431.18204
        0.00909            0.00253            437.67154
        0.01111            0.00253            443.56064
        0.01313            0.00253            448.95999
        0.01515            0.00253            453.94818
        0.01717            0.00253            458.58347
        0.01919            0.00253            462.91095
        0.02121            0.00253            466.96622
        0.02323            0.00253            470.77838
        0.02525            0.00253            474.37152
        0.02727            0.00253            477.76593
        0.02929            0.00253            480.97897
        0.03131            0.00253            484.02594
        0.03333            0.00253            486.92010
        0.03535            0.00253            489.67285
        0.03737            0.00253            492.29465
        0.03939            0.00253            494.79480
        0.04141            0.00253            497.18179
        0.04343            0.00253            499.46341
        0.04545            0.00253            501.64667
        0.04747            0.00253            503.73819
        0.04949            0.00253            505.74414
        0.05152            0.00253            507.67007
        0.05354            0.00253            509.52130
        0.05556            0.00253            511.30276
        0.05758            0.00253            513.01923
        0.05960            0.00253            514.67505
        0.06162            0.00253            516.27466
        0.06364            0.00253            517.82214
        0.06566            0.00253            519.32123
        0.06768            0.00253            520.77539
        0.06970            0.00253            522.18823
        0.07172            0.00253            523.56311
        0.07374            0.00253            524.90326
        0.07576            0.00253            526.21173
        0.07778            0.00253            527.49170
        0.07980            0.00253            528.74609
        0.08182            0.00253            529.97760
        0.08384            0.00253            531.18890
        0.08586            0.00253            532.38275
        0.08788            0.00253            533.56158
        0.08990            0.00253            534.72784
        0.09192            0.00253            535.88403
        0.09394            0.00253            537.03241
        0.09596            0.00253            538.17511
        0.09798            0.00253            539.31433
        0.10000            0.00253            540.45239
        0.10202            0.00253            541.59131
        0.10404            0.00253            542.73285
        0.10606            0.00253            543.87891
        0.10808            0.00253            545.03143
        0.11010            0.00253            546.19226
        0.11212            0.00253            547.36310
        0.11414            0.00253            548.54578
        0.11616            0.00253            549.74158
        0.11818            0.00253            550.95215
        0.12020            0.00253            552.17926
        0.12222            0.00253            553.42419
        0.12424            0.00253            554.68829
        0.12626            0.00253            555.97308
        0.12828            0.00253            557.27997
        0.13030            0.00253            558.61023
        0.13232            0.00253            559.96478
        0.13434            0.00253            561.34521
        0.13636            0.00253            562.75232
        0.13838            0.00253            564.18726
        0.14040            0.00253            565.65088
        0.14242            0.00253            567.14417
        0.14444            0.00253            568.66821
        0.14646            0.00253            570.22375
        0.14848            0.00253            571.81183
        0.15050            0.00253            573.43280
        0.15253            0.00253            575.08765
        0.15455            0.00253            576.77692
        0.15657            0.00253            578.50128
        0.15859            0.00253            580.26123
        0.16061            0.00253            582.05762
        0.16263            0.00253            583.89062
        0.16465            0.00253            585.76093
        0.16667            0.00253            587.66882
        0.16869            0.00253            589.61469
        0.17071            0.00253            591.59857
        0.17273            0.00253            593.62115
        0.17475            0.00253            595.68250
        0.17677            0.00253            597.78271
        0.17879            0.00253            599.92212
        0.18081            0.00253            602.10083
        0.18283            0.00253            604.31866
        0.18485            0.00253            606.57574
        0.18687            0.00253            608.87195
        0.18889            0.00253            611.20734
        0.19091            0.00253            613.58185
        0.19293            0.00253            615.99530
        0.19495            0.00253            618.44696
        0.19697            0.00253            620.93652
        0.19899            0.00253            623.46277
        0.20000            0.00253            624.74170
        0.00000            0.00354            400.00000
        0.00101            0.00354            405.08887
        0.00303            0.00354            414.24261
        0.00505            0.00354            422.28384
        0.00707            0.00354            429.42715
        0.00909            0.00354            435.86139
        0.01111            0.00354            441.72281
        0.01313            0.00354            447.10931
        0.01515            0.00354            452.09317
        0.01717            0.00354            456.72937
        0.01919            0.00354            461.06107
        0.02121            0.00354            465.12265
        0.02323            0.00354            468.94244
        0.02525            0.00354            472.54416
        0.02727            0.00354            475.94766
        0.02929            0.00354            479.17014
        0.03131            0.00354            482.22665
        0.03333            0.00354            485.13046
        0.03535            0.00354            487.89282
        0.03737            0.00354            490.52408
        0.03939            0.00354            493.03360
        0.04141            0.00354            495.42981
        0.04343            0.00354            497.72031
        0.04545            0.00354            499.91245
        0.04747            0.00354            502.01257
        0.04949            0.00354            504.02682
        0.05152            0.00354            505.96091
        0.05354            0.00354            507.82010
        0.05556            0.00354            509.60925
        0.05758            0.00354            511.33328
        0.05960            0.00354            512.99652
        0.06162            0.00354            514.60321
        0.06364            0.00354            516.15771
        0.06566            0.00354            517.66364
        0.06768            0.00354            519.12445
        0.06970            0.00354            520.54376
        0.07172            0.00354            521.92493
        0.07374            0.00354            523.27130
        0.07576            0.00354            524.58588
        0.07778            0.00354            525.87195
        0.07980            0.00354            527.13214
        0.08182            0.00354            528.36938
        0.08384            0.00354            529.58643
        0.08586            0.00354            530.78589
        0.08788            0.00354            531.97028
        0.08990            0.00354            533.14197
        0.09192            0.00354            534.30359
        0.09394            0.00354            535.45740
        0.09596            0.00354            536.60547
        0.09798            0.00354            537.75006
        0.10000            0.00354            538.89355
        0.10202            0.00354            540.03778
        0.10404            0.00354            541.18457
        0.10606            0.00354            542.33606
        0.10808            0.00354            543.49390
        0.11010            0.00354            544.66022
        0.11212            0.00354            545.83643
        0.11414            0.00354            547.02460
        0.11616            0.00354            548.22583
        0.11818            0.00354            549.44196
        0.12020            0.00354            550.67480
        0.12222            0.00354            551.92542
        0.12424            0.00354            553.19531
        0.12626            0.00354            554.48602
        0.12828            0.00354            555.79889
        0.13030            0.00354            557.13513
        0.13232            0.00354            558.49591
        0.13434            0.00354            559.88251
        0.13636            0.00354            561.29590
        0.13838            0.00354            562.73730
        0.14040            0.00354            564.20746
        0.14242            0.00354            565.70746
        0.14444            0.00354            567.23828
        0.14646            0.00354            568.80078
        0.14848            0.00354            570.39587
        0.15050            0.00354            572.02405
        0.15253            0.00354            573.68622
        0.15455            0.00354            575.38293
        0.15657            0.00354            577.11493
        0.15859            0.00354            578.88263
        0.16061            0.00354            580.68689
        0.16263            0.00354            582.52795
        0.16465            0.00354            584.40649
        0.16667            0.00354            586.32263
        0.16869            0.00354            588.27698
        0.17071            0.00354            590.26959
        0.17273            0.00354            592.30096
        0.17475            0.00354            594.37128
        0.17677            0.00354            596.48065
        0.17879            0.00354            598.62927
        0.18081            0.00354            600.81750
        0.18283            0.00354            603.04504
        0.18485            0.00354            605.31183
        0.18687            0.00354            607.61798
        0.18889            0.00354            609.96350
        0.19091            0.00354            612.34821
        0.19293            0.00354            614.77209
        0.19495            0.00354            617.23425
        0.19697            0.00354            619.73450
        0.19899            0.00354            622.27142
        0.20000            0.00354            623.55585
        0.00000            0.00455            400.00000
        0.00101            0.00455            404.56671
        0.00303            0.00455            413.12784
        0.00505            0.00455            420.86783
        0.00707            0.00455            427.85233
        0.00909            0.00455            434.19803
        0.01111            0.00455            440.00800
        0.01313            0.00455            445.36435
        0.01515            0.00455            450.33093
        0.01717            0.00455            454.95813
        0.01919            0.00455            459.28610
        0.02121            0.00455            463.34766
        0.02323            0.00455            467.17001
        0.02525            0.00455            470.77600
        0.02727            0.00455            474.18509
        0.02929            0.00455            477.41400
        0.03131            0.00455            480.47760
        0.03333            0.00455            483.38885
        0.03535            0.00455            486.15894
        0.03737            0.00455            488.79807
        0.03939            0.00455            491.31552
        0.04141            0.00455            493.71973
        0.04343            0.00455            496.01816
        0.04545            0.00455            498.21811
        0.04747            0.00455            500.32599
        0.04949            0.00455            502.34790
        0.05152            0.00455            504.28943
        0.05354            0.00455            506.15601
        0.05556            0.00455            507.95239
        0.05758            0.00455            509.68341
        0.05960            0.00455            511.35358
        0.06162            0.00455            512.96704
        0.06364            0.00455            514.52820
        0.06566            0.00455            516.04053
        0.06768            0.00455            517.50775
        0.06970            0.00455            518.93329
        0.07172            0.00455            520.32062
        0.07374            0.00455            521.67297
        0.07576            0.00455            522.99347
        0.07778            0.00455            524.28522
        0.07980            0.00455            525.55109
