  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            885.26862
        0.00101            0.00000            885.26862
        0.00303            0.00000            541.84094
        0.00505            0.00000            542.20984
        0.00707            0.00000            542.71594
        0.00909            0.00000            543.35785
        0.01111            0.00000            544.13422
        0.01313            0.00000            545.04291
        0.01515            0.00000            546.08124
        0.01717            0.00000            547.24658
        0.01919            0.00000            548.53546
        0.02121            0.00000            549.94434
        0.02323            0.00000            551.46936
        0.02525            0.00000            553.10651
        0.02727            0.00000            554.85132
        0.02929            0.00000            556.69849
        0.03131            0.00000            558.64380
        0.03333            0.00000            560.68219
        0.03535            0.00000            562.80817
        0.03737            0.00000            565.01691
        0.03939            0.00000            567.30280
        0.04141            0.00000            569.66058
        0.04343            0.00000            572.08478
        0.04545            0.00000            574.56989
        0.04747            0.00000            577.11060
        0.04949            0.00000            579.70148
        0.05152            0.00000            582.33728
        0.05354            0.00000            585.01276
        0.05556            0.00000            587.72284
        0.05758            0.00000            590.46252
        0.05960            0.00000            593.22711
        0.06162            0.00000            596.01178
        0.06364            0.00000            598.81207
        0.06566            0.00000            601.62366
        0.06768            0.00000            604.44257
        0.06970            0.00000            607.26495
        0.07172            0.00000            610.08710
        0.07374            0.00000            612.90564
        0.07576            0.00000            615.71722
        0.07778            0.00000            618.51880
        0.07980            0.00000            621.30768
        0.08182            0.00000            624.08124
        0.08384            0.00000            626.83698
        0.08586            0.00000            629.57269
        0.08788            0.00000            632.28644
        0.08990            0.00000            634.97632
        0.09192            0.00000            637.64099
        0.09394            0.00000            640.27875
        0.09596            0.00000            642.88831
        0.09798            0.00000            645.46869
        0.10000            0.00000            648.01892
        0.10202            0.00000            650.53809
        0.10404            0.00000            653.02557
        0.10606            0.00000            655.48071
        0.10808            0.00000            657.90344
        0.11010            0.00000            660.29297
        0.11212            0.00000            662.64935
        0.11414            0.00000            664.97272
        0.11616            0.00000            667.26227
        0.11818            0.00000            669.51831
        0.12020            0.00000            671.74146
        0.12222            0.00000            673.93109
        0.12424            0.00000            676.08765
        0.12626            0.00000            678.21124
        0.12828            0.00000            680.30194
        0.13030            0.00000            682.35999
        0.13232            0.00000            684.38574
        0.13434            0.00000            686.37958
        0.13636            0.00000            688.34210
        0.13838            0.00000            690.27325
        0.14040            0.00000            692.17407
        0.14242            0.00000            694.04449
        0.14444            0.00000            695.88538
        0.14646            0.00000            697.69696
        0.14848            0.00000            699.47980
        0.15050            0.00000            701.23413
        0.15253            0.00000            702.96075
        0.15455            0.00000            704.65985
        0.15657            0.00000            706.33191
        0.15859            0.00000            707.97766
        0.16061            0.00000            709.59723
        0.16263            0.00000            711.19110
        0.16465            0.00000            712.75970
        0.16667            0.00000            714.30347
        0.16869            0.00000            715.82263
        0.17071            0.00000            717.31763
        0.17273            0.00000            718.78894
        0.17475            0.00000            720.23688
        0.17677            0.00000            721.66168
        0.17879            0.00000            723.06366
        0.18081            0.00000            724.44324
        0.18283            0.00000            725.80072
        0.18485            0.00000            727.13635
        0.18687            0.00000            728.45038
        0.18889            0.00000            729.74304
        0.19091            0.00000            731.01440
        0.19293            0.00000            732.26520
        0.19495            0.00000            733.49500
        0.19697            0.00000            734.70435
        0.19899            0.00000            735.89343
        0.20000            0.00000            736.47784
        0.00000            0.00051            885.24225
