  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            402.31250
        0.00101            0.00000            420.25815
        0.00303            0.00000            439.21100
        0.00505            0.00000            454.62268
        0.00707            0.00000            467.88977
        0.00909            0.00000            479.65097
        0.01111            0.00000            490.26523
        0.01313            0.00000            499.96066
        0.01515            0.00000            508.89502
        0.01717            0.00000            517.18323
        0.01919            0.00000            524.91290
        0.02121            0.00000            532.15253
        0.02323            0.00000            538.95740
        0.02525            0.00000            545.37268
        0.02727            0.00000            551.43634
        0.02929            0.00000            557.18042
        0.03131            0.00000            562.63232
        0.03333            0.00000            567.81641
        0.03535            0.00000            572.75299
        0.03737            0.00000            577.46045
        0.03939            0.00000            581.95520
        0.04141            0.00000            586.25195
        0.04343            0.00000            590.36407
        0.04545            0.00000            594.30365
        0.04747            0.00000            598.08160
        0.04949            0.00000            601.70782
        0.05152            0.00000            605.19189
        0.05354            0.00000            608.54224
        0.05556            0.00000            611.76691
        0.05758            0.00000            614.87354
        0.05960            0.00000            617.86920
        0.06162            0.00000            620.75995
        0.06364            0.00000            623.55292
        0.06566            0.00000            626.25342
        0.06768            0.00000            628.86719
        0.06970            0.00000            631.39929
        0.07172            0.00000            633.85498
        0.07374            0.00000            636.23901
        0.07576            0.00000            638.55621
        0.07778            0.00000            640.81073
        0.07980            0.00000            643.00684
        0.08182            0.00000            645.14856
        0.08384            0.00000            647.23993
        0.08586            0.00000            649.28461
        0.08788            0.00000            651.28625
        0.08990            0.00000            653.24841
        0.09192            0.00000            655.17438
        0.09394            0.00000            657.06750
        0.09596            0.00000            658.93066
        0.09798            0.00000            660.76697
        0.10000            0.00000            662.57935
        0.10202            0.00000            664.37085
        0.10404            0.00000            666.14404
        0.10606            0.00000            667.90137
        0.10808            0.00000            669.64545
        0.11010            0.00000            671.37872
        0.11212            0.00000            673.10352
        0.11414            0.00000            674.82227
        0.11616            0.00000            676.53662
        0.11818            0.00000            678.24915
        0.12020            0.00000            679.96173
        0.12222            0.00000            681.67621
        0.12424            0.00000            683.39441
        0.12626            0.00000            685.11847
        0.12828            0.00000            686.85010
        0.13030            0.00000            688.59088
        0.13232            0.00000            690.34222
        0.13434            0.00000            692.10577
        0.13636            0.00000            693.88287
        0.13838            0.00000            695.67474
        0.14040            0.00000            697.48303
        0.14242            0.00000            699.30853
        0.14444            0.00000            701.15253
        0.14646            0.00000            703.01611
        0.14848            0.00000            704.90027
        0.15050            0.00000            706.80615
        0.15253            0.00000            708.73425
        0.15455            0.00000            710.68573
        0.15657            0.00000            712.66125
        0.15859            0.00000            714.66144
        0.16061            0.00000            716.68719
        0.16263            0.00000            718.73853
        0.16465            0.00000            720.81659
        0.16667            0.00000            722.92133
        0.16869            0.00000            725.05341
        0.17071            0.00000            727.21326
        0.17273            0.00000            729.40118
        0.17475            0.00000            731.61682
        0.17677            0.00000            733.86102
        0.17879            0.00000            736.13361
        0.18081            0.00000            738.43475
        0.18283            0.00000            740.76428
        0.18485            0.00000            743.12231
        0.18687            0.00000            745.50879
        0.18889            0.00000            747.92340
        0.19091            0.00000            750.36609
        0.19293            0.00000            752.83673
