title="2D heat conduction problem"
variables="x","y","T"
zone i=101, j=101, f=point
0,0,300
0,0.01,302.5
0,0.02,305.01
0,0.03,307.51
0,0.04,310.02
0,0.05,312.53
0,0.06,315.04
0,0.07,317.55
0,0.08,320.07
0,0.09,322.59
0,0.1,325.11
0,0.11,327.64
0,0.12,330.17
0,0.13,332.71
0,0.14,335.25
0,0.15,337.8
0,0.16,340.35
0,0.17,342.92
0,0.18,345.48
0,0.19,348.06
0,0.2,350.65
0,0.21,353.24
0,0.22,355.84
0,0.23,358.45
0,0.24,361.07
0,0.25,363.7
0,0.26,366.34
0,0.27,368.99
0,0.28,371.65
0,0.29,374.32
0,0.3,377.01
0,0.31,379.7
0,0.32,382.41
0,0.33,385.13
0,0.34,387.86
0,0.35,390.61
0,0.36,393.37
0,0.37,396.14
0,0.38,398.93
0,0.39,401.73
0,0.4,404.55
0,0.41,407.38
0,0.42,410.22
0,0.43,413.08
0,0.44,415.96
0,0.45,418.85
0,0.46,421.75
0,0.47,424.67
0,0.48,427.61
0,0.49,430.56
0,0.5,433.53
0,0.51,436.52
0,0.52,439.52
0,0.53,442.54
0,0.54,445.58
0,0.55,448.63
0,0.56,451.69
0,0.57,454.78
0,0.58,457.88
0,0.59,460.99
0,0.6,464.13
0,0.61,467.28
0,0.62,470.44
0,0.63,473.62
0,0.64,476.82
0,0.65,480.03
0,0.66,483.26
0,0.67,486.51
0,0.68,489.77
0,0.69,493.04
0,0.7,496.33
0,0.71,499.63
0,0.72,502.95
0,0.73,506.28
0,0.74,509.63
0,0.75,512.99
0,0.76,516.36
0,0.77,519.74
0,0.78,523.14
0,0.79,526.55
0,0.8,529.97
0,0.81,533.4
0,0.82,536.84
0,0.83,540.29
0,0.84,543.75
0,0.85,547.22
0,0.86,550.7
0,0.87,554.19
0,0.88,557.68
0,0.89,561.18
0,0.9,564.69
0,0.91,568.2
0,0.92,571.72
0,0.93,575.25
0,0.94,578.78
0,0.95,582.31
0,0.96,585.84
0,0.97,589.38
0,0.98,592.92
0,0.99,596.46
0,1,600.48
0.01,0,300
0.01,0.01,302.5
0.01,0.02,305.01
0.01,0.03,307.51
0.01,0.04,310.02
0.01,0.05,312.53
0.01,0.06,315.04
0.01,0.07,317.55
0.01,0.08,320.07
0.01,0.09,322.59
0.01,0.1,325.11
0.01,0.11,327.64
0.01,0.12,330.17
0.01,0.13,332.7
0.01,0.14,335.25
0.01,0.15,337.8
0.01,0.16,340.35
0.01,0.17,342.91
0.01,0.18,345.48
0.01,0.19,348.06
0.01,0.2,350.64
0.01,0.21,353.23
0.01,0.22,355.83
0.01,0.23,358.45
0.01,0.24,361.06
0.01,0.25,363.69
0.01,0.26,366.33
0.01,0.27,368.98
0.01,0.28,371.64
0.01,0.29,374.32
0.01,0.3,377
0.01,0.31,379.7
0.01,0.32,382.4
0.01,0.33,385.12
0.01,0.34,387.86
0.01,0.35,390.6
0.01,0.36,393.36
0.01,0.37,396.14
0.01,0.38,398.92
0.01,0.39,401.72
0.01,0.4,404.54
0.01,0.41,407.37
0.01,0.42,410.21
0.01,0.43,413.07
0.01,0.44,415.95
0.01,0.45,418.84
0.01,0.46,421.74
0.01,0.47,424.67
0.01,0.48,427.6
0.01,0.49,430.56
0.01,0.5,433.53
0.01,0.51,436.51
0.01,0.52,439.51
0.01,0.53,442.53
0.01,0.54,445.57
0.01,0.55,448.62
0.01,0.56,451.69
0.01,0.57,454.77
