  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I= 51       J= 51      F=POINT
        0.00000            0.00000              0.36788
        0.01020            0.00000              0.36976
        0.03061            0.00000              0.37356
        0.05102            0.00000              0.37739
        0.07143            0.00000              0.38126
        0.09184            0.00000              0.38517
        0.11224            0.00000              0.38912
        0.13265            0.00000              0.39311
        0.15306            0.00000              0.39714
        0.17347            0.00000              0.40122
        0.19388            0.00000              0.40533
        0.21429            0.00000              0.40949
        0.23469            0.00000              0.41369
        0.25510            0.00000              0.41793
        0.27551            0.00000              0.42222
        0.29592            0.00000              0.42655
        0.31633            0.00000              0.43092
        0.33673            0.00000              0.43534
        0.35714            0.00000              0.43981
        0.37755            0.00000              0.44432
        0.39796            0.00000              0.44887
        0.41837            0.00000              0.45348
        0.43878            0.00000              0.45813
        0.45918            0.00000              0.46283
        0.47959            0.00000              0.46758
        0.50000            0.00000              0.47237
        0.52041            0.00000              0.47722
        0.54082            0.00000              0.48211
        0.56122            0.00000              0.48705
        0.58163            0.00000              0.49205
        0.60204            0.00000              0.49710
        0.62245            0.00000              0.50220
        0.64286            0.00000              0.50735
        0.66327            0.00000              0.51255
        0.68367            0.00000              0.51781
        0.70408            0.00000              0.52312
        0.72449            0.00000              0.52848
        0.74490            0.00000              0.53390
        0.76531            0.00000              0.53938
        0.78571            0.00000              0.54491
        0.80612            0.00000              0.55050
        0.82653            0.00000              0.55615
        0.84694            0.00000              0.56185
        0.86735            0.00000              0.56761
        0.88775            0.00000              0.57343
        0.90816            0.00000              0.57931
        0.92857            0.00000              0.58526
        0.94898            0.00000              0.59126
        0.96939            0.00000              0.59732
        0.98980            0.00000              0.60345
        1.00000            0.00000              0.60654
        0.00000            0.01020              0.36976
        0.01020            0.01020              0.37165
        0.03061            0.01020              0.37547
        0.05102            0.01020              0.37933
        0.07143            0.01020              0.38322
        0.09184            0.01020              0.38716
        0.11224            0.01020              0.39113
        0.13265            0.01020              0.39515
        0.15306            0.01020              0.39920
        0.17347            0.01020              0.40330
        0.19388            0.01020              0.40744
        0.21429            0.01020              0.41162
        0.23469            0.01020              0.41584
        0.25510            0.01020              0.42011
        0.27551            0.01020              0.42442
        0.29592            0.01020              0.42878
        0.31633            0.01020              0.43318
        0.33673            0.01020              0.43762
        0.35714            0.01020              0.44211
        0.37755            0.01020              0.44664
        0.39796            0.01020              0.45123
        0.41837            0.01020              0.45585
        0.43878            0.01020              0.46053
        0.45918            0.01020              0.46525
        0.47959            0.01020              0.47002
        0.50000            0.01020              0.47484
        0.52041            0.01020              0.47971
        0.54082            0.01020              0.48463
        0.56122            0.01020              0.48960
        0.58163            0.01020              0.49462
        0.60204            0.01020              0.49970
        0.62245            0.01020              0.50482
        0.64286            0.01020              0.51000
        0.66327            0.01020              0.51523
        0.68367            0.01020              0.52051
        0.70408            0.01020              0.52584
        0.72449            0.01020              0.53124
        0.74490            0.01020              0.53668
        0.76531            0.01020              0.54218
        0.78571            0.01020              0.54774
        0.80612            0.01020              0.55336
        0.82653            0.01020              0.55903
        0.84694            0.01020              0.56476
        0.86735            0.01020              0.57054
        0.88775            0.01020              0.57639
        0.90816            0.01020              0.58230
        0.92857            0.01020              0.58826
        0.94898            0.01020              0.59429
        0.96939            0.01020              0.60038
        0.98980            0.01020              0.60653
        1.00000            0.01020              0.60964
        0.00000            0.03061              0.37356
        0.01020            0.03061              0.37547
        0.03061            0.03061              0.37934
        0.05102            0.03061              0.38324
        0.07143            0.03061              0.38719
        0.09184            0.03061              0.39117
        0.11224            0.03061              0.39520
        0.13265            0.03061              0.39926
        0.15306            0.03061              0.40336
        0.17347            0.03061              0.40751
        0.19388            0.03061              0.41170
        0.21429            0.03061              0.41593
        0.23469            0.03061              0.42020
        0.25510            0.03061              0.42451
        0.27551            0.03061              0.42887
        0.29592            0.03061              0.43328
        0.31633            0.03061              0.43772
        0.33673            0.03061              0.44222
        0.35714            0.03061              0.44676
        0.37755            0.03061              0.45134
        0.39796            0.03061              0.45597
        0.41837            0.03061              0.46065
        0.43878            0.03061              0.46537
        0.45918            0.03061              0.47015
        0.47959            0.03061              0.47497
        0.50000            0.03061              0.47984
        0.52041            0.03061              0.48476
        0.54082            0.03061              0.48973
        0.56122            0.03061              0.49475
        0.58163            0.03061              0.49982
        0.60204            0.03061              0.50495
        0.62245            0.03061              0.51012
        0.64286            0.03061              0.51535
        0.66327            0.03061              0.52063
        0.68367            0.03061              0.52596
        0.70408            0.03061              0.53135
        0.72449            0.03061              0.53679
        0.74490            0.03061              0.54229
        0.76531            0.03061              0.54785
        0.78571            0.03061              0.55346
        0.80612            0.03061              0.55912
        0.82653            0.03061              0.56485
        0.84694            0.03061              0.57063
        0.86735            0.03061              0.57647
        0.88775            0.03061              0.58236
        0.90816            0.03061              0.58832
        0.92857            0.03061              0.59434
        0.94898            0.03061              0.60042
        0.96939            0.03061              0.60656
        0.98980            0.03061              0.61276
        1.00000            0.03061              0.61589
        0.00000            0.05102              0.37739
        0.01020            0.05102              0.37933
        0.03061            0.05102              0.38324
        0.05102            0.05102              0.38720
        0.07143            0.05102              0.39119
        0.09184            0.05102              0.39523
        0.11224            0.05102              0.39930
        0.13265            0.05102              0.40341
        0.15306            0.05102              0.40756
        0.17347            0.05102              0.41176
        0.19388            0.05102              0.41599
        0.21429            0.05102              0.42027
        0.23469            0.05102              0.42459
        0.25510            0.05102              0.42896
        0.27551            0.05102              0.43337
        0.29592            0.05102              0.43782
        0.31633            0.05102              0.44232
        0.33673            0.05102              0.44686
        0.35714            0.05102              0.45145
        0.37755            0.05102              0.45608
        0.39796            0.05102              0.46076
        0.41837            0.05102              0.46549
        0.43878            0.05102              0.47026
        0.45918            0.05102              0.47509
        0.47959            0.05102              0.47996
        0.50000            0.05102              0.48488
        0.52041            0.05102              0.48985
        0.54082            0.05102              0.49487
        0.56122            0.05102              0.49995
        0.58163            0.05102              0.50507
        0.60204            0.05102              0.51024
        0.62245            0.05102              0.51547
        0.64286            0.05102              0.52075
        0.66327            0.05102              0.52608
        0.68367            0.05102              0.53147
        0.70408            0.05102              0.53691
        0.72449            0.05102              0.54241
        0.74490            0.05102              0.54796
        0.76531            0.05102              0.55356
        0.78571            0.05102              0.55923
        0.80612            0.05102              0.56494
        0.82653            0.05102              0.57072
