  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I= 51       J= 51      F=POINT
        0.00000            0.00000              0.00000
        0.03206            0.00000              0.00000
        0.09617            0.00000              0.00000
        0.16029            0.00000              0.00000
        0.22440            0.00000              0.00000
        0.28851            0.00000              0.00000
        0.35263            0.00000              0.00000
        0.41674            0.00000              0.00000
        0.48086            0.00000              0.00000
        0.54497            0.00000              0.00000
        0.60908            0.00000              0.00000
        0.67320            0.00000              0.00000
        0.73731            0.00000              0.00000
        0.80143            0.00000              0.00000
        0.86554            0.00000              0.00000
        0.92966            0.00000              0.00000
        0.99377            0.00000              0.00000
        1.05788            0.00000              0.00000
        1.12200            0.00000              0.00000
        1.18611            0.00000              0.00000
        1.25023            0.00000              0.00000
        1.31434            0.00000              0.00000
        1.37845            0.00000              0.00000
        1.44257            0.00000              0.00000
        1.50668            0.00000              0.00000
        1.57080            0.00000              0.00000
        1.63491            0.00000              0.00000
        1.69902            0.00000              0.00000
        1.76314            0.00000              0.00000
        1.82725            0.00000              0.00000
        1.89137            0.00000              0.00000
        1.95548            0.00000              0.00000
        2.01959            0.00000              0.00000
        2.08371            0.00000              0.00000
        2.14782            0.00000              0.00000
        2.21194            0.00000              0.00000
        2.27605            0.00000              0.00000
        2.34017            0.00000              0.00000
        2.40428            0.00000              0.00000
        2.46839            0.00000              0.00000
        2.53251            0.00000              0.00000
        2.59662            0.00000              0.00000
        2.66074            0.00000              0.00000
        2.72485            0.00000              0.00000
        2.78896            0.00000              0.00000
        2.85308            0.00000              0.00000
        2.91719            0.00000              0.00000
        2.98131            0.00000              0.00000
        3.04542            0.00000              0.00000
        3.10953            0.00000              0.00000
        3.14159            0.00000              0.00000
        0.00000            0.03206              0.00000
        0.03206            0.03206              0.22710
        0.09617            0.03206              0.68037
        0.16029            0.03206              1.13085
        0.22440            0.03206              1.57667
        0.28851            0.03206              2.01602
        0.35263            0.03206              2.44708
        0.41674            0.03206              2.86808
        0.48086            0.03206              3.27729
        0.54497            0.03206              3.67304
        0.60908            0.03206              4.05369
        0.67320            0.03206              4.41769
        0.73731            0.03206              4.76353
        0.80143            0.03206              5.08979
        0.86554            0.03206              5.39514
        0.92966            0.03206              5.67832
