title="2D heat conduction problem"
variables="x","y","T"
zone i=101, j=101, f=point
0,0,0.36788
0,0.01,0.36972
0,0.02,0.37158
0,0.03,0.37344
0,0.04,0.37531
0,0.05,0.37719
0,0.06,0.37908
0,0.07,0.38098
0,0.08,0.38289
0,0.09,0.38481
0,0.1,0.38674
0,0.11,0.38868
0,0.12,0.39063
0,0.13,0.39259
0,0.14,0.39455
0,0.15,0.39653
0,0.16,0.39852
0,0.17,0.40052
0,0.18,0.40252
0,0.19,0.40454
0,0.2,0.40657
0,0.21,0.40861
0,0.22,0.41066
0,0.23,0.41271
0,0.24,0.41478
0,0.25,0.41686
0,0.26,0.41895
0,0.27,0.42105
0,0.28,0.42316
0,0.29,0.42528
0,0.3,0.42741
0,0.31,0.42956
0,0.32,0.43171
0,0.33,0.43387
0,0.34,0.43605
0,0.35,0.43823
0,0.36,0.44043
0,0.37,0.44264
0,0.38,0.44486
0,0.39,0.44709
0,0.4,0.44933
0,0.41,0.45158
0,0.42,0.45384
0,0.43,0.45612
0,0.44,0.45841
0,0.45,0.4607
0,0.46,0.46301
0,0.47,0.46533
0,0.48,0.46767
0,0.49,0.47001
0,0.5,0.47237
0,0.51,0.47473
0,0.52,0.47711
0,0.53,0.47951
0,0.54,0.48191
0,0.55,0.48432
0,0.56,0.48675
0,0.57,0.48919
0,0.58,0.49164
0,0.59,0.49411
0,0.6,0.49659
0,0.61,0.49907
0,0.62,0.50158
0,0.63,0.50409
0,0.64,0.50662
0,0.65,0.50916
0,0.66,0.51171
0,0.67,0.51427
0,0.68,0.51685
0,0.69,0.51944
0,0.7,0.52205
0,0.71,0.52466
0,0.72,0.52729
0,0.73,0.52994
0,0.74,0.53259
0,0.75,0.53526
0,0.76,0.53794
0,0.77,0.54064
0,0.78,0.54335
0,0.79,0.54607
0,0.8,0.54881
0,0.81,0.55156
0,0.82,0.55433
0,0.83,0.55711
0,0.84,0.5599
0,0.85,0.5627
0,0.86,0.56553
0,0.87,0.56836
0,0.88,0.57121
0,0.89,0.57407
0,0.9,0.57695
0,0.91,0.57984
0,0.92,0.58275
0,0.93,0.58567
0,0.94,0.5886
0,0.95,0.59156
0,0.96,0.59452
0,0.97,0.5975
0,0.98,0.6005
0,0.99,0.60351
0,1,0.60653
0.01,0,0.36972
0.01,0.01,0.37158
0.01,0.02,0.37344
0.01,0.03,0.37531
0.01,0.04,0.37719
0.01,0.05,0.37908
0.01,0.06,0.38098
0.01,0.07,0.38289
0.01,0.08,0.38481
0.01,0.09,0.38674
0.01,0.1,0.38868
0.01,0.11,0.39063
0.01,0.12,0.39259
0.01,0.13,0.39455
0.01,0.14,0.39653
0.01,0.15,0.39852
0.01,0.16,0.40052
0.01,0.17,0.40252
0.01,0.18,0.40454
0.01,0.19,0.40657
0.01,0.2,0.40861
0.01,0.21,0.41066
0.01,0.22,0.41271
0.01,0.23,0.41478
0.01,0.24,0.41686
0.01,0.25,0.41895
0.01,0.26,0.42105
0.01,0.27,0.42316
0.01,0.28,0.42528
0.01,0.29,0.42741
0.01,0.3,0.42956
0.01,0.31,0.43171
0.01,0.32,0.43387
0.01,0.33,0.43605
0.01,0.34,0.43823
0.01,0.35,0.44043
0.01,0.36,0.44264
0.01,0.37,0.44486
0.01,0.38,0.44709
0.01,0.39,0.44933
0.01,0.4,0.45158
0.01,0.41,0.45384
0.01,0.42,0.45612
0.01,0.43,0.45841
0.01,0.44,0.4607
0.01,0.45,0.46301
0.01,0.46,0.46533
0.01,0.47,0.46767
0.01,0.48,0.47001
0.01,0.49,0.47237
0.01,0.5,0.47473
0.01,0.51,0.47711
0.01,0.52,0.47951
0.01,0.53,0.48191
0.01,0.54,0.48432
0.01,0.55,0.48675
0.01,0.56,0.48919
0.01,0.57,0.49164
0.01,0.58,0.49411
0.01,0.59,0.49659
0.01,0.6,0.49907
0.01,0.61,0.50158
0.01,0.62,0.50409
0.01,0.63,0.50662
0.01,0.64,0.50916
0.01,0.65,0.51171
0.01,0.66,0.51427
0.01,0.67,0.51685
0.01,0.68,0.51944
0.01,0.69,0.52205
0.01,0.7,0.52466
0.01,0.71,0.52729
0.01,0.72,0.52994
0.01,0.73,0.53259
0.01,0.74,0.53526
0.01,0.75,0.53794
0.01,0.76,0.54064
0.01,0.77,0.54335
0.01,0.78,0.54607
0.01,0.79,0.54881
0.01,0.8,0.55156
0.01,0.81,0.55433
0.01,0.82,0.55711
0.01,0.83,0.5599
0.01,0.84,0.5627
0.01,0.85,0.56553
0.01,0.86,0.56836
0.01,0.87,0.57121
0.01,0.88,0.57407
0.01,0.89,0.57695
0.01,0.9,0.57984
0.01,0.91,0.58275
0.01,0.92,0.58567
0.01,0.93,0.5886
0.01,0.94,0.59156
0.01,0.95,0.59452
0.01,0.96,0.5975
0.01,0.97,0.6005
0.01,0.98,0.60351
0.01,0.99,0.60653
0.01,1,0.60957
0.02,0,0.37158
0.02,0.01,0.37344
0.02,0.02,0.37531
0.02,0.03,0.37719
0.02,0.04,0.37908
0.02,0.05,0.38098
0.02,0.06,0.38289
0.02,0.07,0.38481
0.02,0.08,0.38674
0.02,0.09,0.38868
0.02,0.1,0.39063
0.02,0.11,0.39259
0.02,0.12,0.39455
0.02,0.13,0.39653
0.02,0.14,0.39852
0.02,0.15,0.40052
0.02,0.16,0.40252
0.02,0.17,0.40454
0.02,0.18,0.40657
0.02,0.19,0.40861
0.02,0.2,0.41066
0.02,0.21,0.41271
0.02,0.22,0.41478
0.02,0.23,0.41686
0.02,0.24,0.41895
0.02,0.25,0.42105
0.02,0.26,0.42316
0.02,0.27,0.42528
0.02,0.28,0.42741
0.02,0.29,0.42956
0.02,0.3,0.43171
0.02,0.31,0.43387
0.02,0.32,0.43605
0.02,0.33,0.43823
0.02,0.34,0.44043
0.02,0.35,0.44264
0.02,0.36,0.44486
0.02,0.37,0.44709
0.02,0.38,0.44933
0.02,0.39,0.45158
0.02,0.4,0.45384
0.02,0.41,0.45612
0.02,0.42,0.45841
0.02,0.43,0.4607
0.02,0.44,0.46301
0.02,0.45,0.46533
0.02,0.46,0.46767
0.02,0.47,0.47001
0.02,0.48,0.47237
0.02,0.49,0.47473
0.02,0.5,0.47711
0.02,0.51,0.47951
0.02,0.52,0.48191
0.02,0.53,0.48432
0.02,0.54,0.48675
0.02,0.55,0.48919
0.02,0.56,0.49164
0.02,0.57,0.49411
0.02,0.58,0.49659
0.02,0.59,0.49907
0.02,0.6,0.50158
0.02,0.61,0.50409
0.02,0.62,0.50662
0.02,0.63,0.50916
0.02,0.64,0.51171
0.02,0.65,0.51427
0.02,0.66,0.51685
0.02,0.67,0.51944
0.02,0.68,0.52205
0.02,0.69,0.52466
0.02,0.7,0.52729
0.02,0.71,0.52994
0.02,0.72,0.53259
0.02,0.73,0.53526
0.02,0.74,0.53794
0.02,0.75,0.54064
0.02,0.76,0.54335
0.02,0.77,0.54607
0.02,0.78,0.54881
0.02,0.79,0.55156
0.02,0.8,0.55433
0.02,0.81,0.55711
0.02,0.82,0.5599
0.02,0.83,0.5627
0.02,0.84,0.56553
0.02,0.85,0.56836
0.02,0.86,0.57121
0.02,0.87,0.57407
0.02,0.88,0.57695
0.02,0.89,0.57984
0.02,0.9,0.58275
0.02,0.91,0.58567
0.02,0.92,0.5886
0.02,0.93,0.59156
0.02,0.94,0.59452
0.02,0.95,0.5975
0.02,0.96,0.6005
0.02,0.97,0.60351
0.02,0.98,0.60653
0.02,0.99,0.60957
0.02,1,0.61263
0.03,0,0.37344
0.03,0.01,0.37531
0.03,0.02,0.37719
0.03,0.03,0.37908
0.03,0.04,0.38098
0.03,0.05,0.38289
0.03,0.06,0.38481
0.03,0.07,0.38674
0.03,0.08,0.38868
0.03,0.09,0.39063
0.03,0.1,0.39259
0.03,0.11,0.39455
0.03,0.12,0.39653
0.03,0.13,0.39852
0.03,0.14,0.40052
0.03,0.15,0.40252
0.03,0.16,0.40454
0.03,0.17,0.40657
0.03,0.18,0.40861
0.03,0.19,0.41066
0.03,0.2,0.41271
0.03,0.21,0.41478
0.03,0.22,0.41686
0.03,0.23,0.41895
0.03,0.24,0.42105
