  Title="2D heat conduction problem"
  Variables="x","y","T"
  ZONE I=101       J=101      F=POINT
        0.00000            0.00000            494.26230
        0.00101            0.00000            694.63959
        0.00303            0.00000            763.73633
        0.00505            0.00000            799.19318
        0.00707            0.00000            820.61041
        0.00909            0.00000            834.90405
        0.01111            0.00000            845.10266
        0.01313            0.00000            852.73840
        0.01515            0.00000            858.66772
        0.01717            0.00000            863.40601
        0.01919            0.00000            867.28107
        0.02121            0.00000            870.51111
        0.02323            0.00000            873.24658
        0.02525            0.00000            875.59460
        0.02727            0.00000            877.63312
        0.02929            0.00000            879.42041
        0.03131            0.00000            881.00073
        0.03333            0.00000            882.40863
        0.03535            0.00000            883.67065
        0.03737            0.00000            884.80872
        0.03939            0.00000            885.83960
        0.04141            0.00000            886.77777
        0.04343            0.00000            887.63477
        0.04545            0.00000            888.42010
        0.04747            0.00000            889.14203
        0.04949            0.00000            889.80750
        0.05152            0.00000            890.42218
        0.05354            0.00000            890.99127
        0.05556            0.00000            891.51904
        0.05758            0.00000            892.00928
        0.05960            0.00000            892.46533
        0.06162            0.00000            892.89008
        0.06364            0.00000            893.28607
        0.06566            0.00000            893.65601
        0.06768            0.00000            894.00146
        0.06970            0.00000            894.32471
        0.07172            0.00000            894.62732
        0.07374            0.00000            894.91071
        0.07576            0.00000            895.17639
        0.07778            0.00000            895.42566
        0.07980            0.00000            895.65961
        0.08182            0.00000            895.87933
        0.08384            0.00000            896.08582
        0.08586            0.00000            896.27997
        0.08788            0.00000            896.46259
        0.08990            0.00000            896.63464
        0.09192            0.00000            896.79669
        0.09394            0.00000            896.94934
        0.09596            0.00000            897.09326
        0.09798            0.00000            897.22919
        0.10000            0.00000            897.35742
        0.10202            0.00000            897.47858
        0.10404            0.00000            897.59332
        0.10606            0.00000            897.70178
        0.10808            0.00000            897.80450
        0.11010            0.00000            897.90198
        0.11212            0.00000            897.99438
        0.11414            0.00000            898.08215
        0.11616            0.00000            898.16565
        0.11818            0.00000            898.24512
        0.12020            0.00000            898.32080
        0.12222            0.00000            898.39301
        0.12424            0.00000            898.46191
        0.12626            0.00000            898.52777
        0.12828            0.00000            898.59100
        0.13030            0.00000            898.65143
        0.13232            0.00000            898.70935
        0.13434            0.00000            898.76501
        0.13636            0.00000            898.81854
        0.13838            0.00000            898.87006
        0.14040            0.00000            898.91968
        0.14242            0.00000            898.96753
        0.14444            0.00000            899.01398
        0.14646            0.00000            899.05865
        0.14848            0.00000            899.10223
        0.15050            0.00000            899.14453
        0.15253            0.00000            899.18555
        0.15455            0.00000            899.22559
        0.15657            0.00000            899.26459
        0.15859            0.00000            899.30273
        0.16061            0.00000            899.34009
        0.16263            0.00000            899.37665
        0.16465            0.00000            899.41229
        0.16667            0.00000            899.44745
        0.16869            0.00000            899.48199
        0.17071            0.00000            899.51599
        0.17273            0.00000            899.54956
        0.17475            0.00000            899.58264
        0.17677            0.00000            899.61536
        0.17879            0.00000            899.64752
        0.18081            0.00000            899.67932
        0.18283            0.00000            899.71082
        0.18485            0.00000            899.74207
        0.18687            0.00000            899.77313
        0.18889            0.00000            899.80377
        0.19091            0.00000            899.83417
        0.19293            0.00000            899.86438
        0.19495            0.00000            899.89429
        0.19697            0.00000            899.92401
        0.19899            0.00000            899.95355
        0.20000            0.00000            899.96826
        0.00000            0.00051            400.00000
        0.00101            0.00051            646.92963
        0.00303            0.00051            732.07910
        0.00505            0.00051            775.77344
        0.00707            0.00051            802.16638
        0.00909            0.00051            819.78082
        0.01111            0.00051            832.34882
        0.01313            0.00051            841.75848
        0.01515            0.00051            849.06537
        0.01717            0.00051            854.90442
        0.01919            0.00051            859.67975
        0.02121            0.00051            863.66016
        0.02323            0.00051            867.03119
        0.02525            0.00051            869.92468
        0.02727            0.00051            872.43677
        0.02929            0.00051            874.63928
        0.03131            0.00051            876.58685
        0.03333            0.00051            878.32184
        0.03535            0.00051            879.87701
        0.03737            0.00051            881.27942
        0.03939            0.00051            882.54980
        0.04141            0.00051            883.70593
        0.04343            0.00051            884.76208
        0.04545            0.00051            885.72992
        0.04747            0.00051            886.61957
        0.04949            0.00051            887.43964
        0.05152            0.00051            888.19708
        0.05354            0.00051            888.89838
        0.05556            0.00051            889.54871
        0.05758            0.00051            890.15283
        0.05960            0.00051            890.71484
        0.06162            0.00051            891.23834
        0.06364            0.00051            891.72638
        0.06566            0.00051            892.18213
        0.06768            0.00051            892.60797
        0.06970            0.00051            893.00623
        0.07172            0.00051            893.37921
        0.07374            0.00051            893.72845
        0.07576            0.00051            894.05585
        0.07778            0.00051            894.36292
        0.07980            0.00051            894.65125
        0.08182            0.00051            894.92206
        0.08384            0.00051            895.17651
        0.08586            0.00051            895.41577
